last_edit_date	latitude	longitude	name
061114	-33.8893453	151.2746582	
061114	-33.8904766	151.2746464	
061130	-27.586189	151.9781982	
061130	-27.5802772	151.9637929	
070420	52.2192043	-1.5024996	
070425	55.7842446	-4.2751107	
070517	54.9847147	12.2856944	
070602	51.2738725	1.164456	
070604	52.3140826	15.0728616	
070611	49.634375	8.3571047	
070614	52.1834739	0.2215928	
070722	51.4192756	-0.12906	
070726	-34.7756718	150.6971586	
070807	30.2834072	120.1765751	
070811	-25.8371735	28.2703435	
070826	50.9161754	0.7234847	
070827	52.1229452	0.1697286	
070827	52.1239763	0.1694443	
070829	49.6364791	8.36297	
070901	59.4102285	17.9637051	
070904	51.4169781	-0.1923253	
070907	50.8739448	0.0141708	
070907	51.5929394	0.2328093	Natwest
070908	53.7327005	-2.5205945	
070922	51.8363249	8.8358733	
070923	52.538628	-1.8805249	
071008	50.2541356	12.4058956	
071014	52.0734773	-3.1245316	
071018	53.2992074	-6.3214899	
071020	59.6105277	16.5428484	SEB
071027	60.2365514	25.0852737	
071105	60.2368641	25.0834999	
071111	52.4884238	-1.9618005	
071114	45.4601252	9.1902547	
071114	50.6883888	-2.3374839	
071114	39.8952334	32.7038605	Yapı Kredi
071114	39.8951855	32.7038836	Garanti
071119	45.4361222	28.0239404	Bancpost
071125	47.5060245	8.5419571	
071125	52.5583777	-0.2211383	
071127	54.7289141	25.2691115	
071128	49.4110565	8.9311216	Sparkasse
071128	49.4106017	8.9306119	Volksbank/EC
071130	39.8847985	32.8554829	Garanti ATM
071208	49.5204255	8.4991268	
071209	48.3366195	19.659787	
071211	51.3830473	-1.3187209	
071213	42.6629351	23.3917292	
071213	42.6687037	23.3974884	
071221	-33.9152252	18.4187559	Nedbank
071230	58.3420491	8.5927989	
071231	49.4469433	9.0537358	Volksbank
071231	49.1564476	5.8834918	
071231	49.1563858	5.8832343	
080102	44.4161861	8.9225538	Poste
080102	45.4303726	28.0245146	Raiffeisen Bank
080103	44.3956172	8.9479374	Poste
080107	44.1062112	9.8255406	Poste
080110	44.1046291	9.8237988	Intesa SanPaolo
080112	60.6746398	17.1394391	
080112	44.7753253	-63.6938378	
080113	44.4608243	8.902324	Poste
080114	35.1667581	33.3615204	
080115	44.0488741	8.2162288	
080115	51.4840851	0.3357865	
080116	44.7738393	-63.6956635	
080117	43.8598926	7.8540733	Poste
080118	53.0582201	8.9383265	
080125	-26.0819035	27.9268301	
080127	49.1572025	5.8814994	
080129	-33.9427103	18.4206273	Standard Bank
080129	-26.11749	27.8889706	
080129	-26.1179756	27.8885844	ABSA
080131	53.7973224	-1.544598	
080201	50.6823745	13.8706864	
080203	52.478105	-1.9117119	
080204	34.7769176	32.4229482	
080204	53.7092206	-1.9108165	
080204	53.7085231	-1.9117788	Lloyds TSB Bank
080206	42.2570023	12.1763826	
080206	42.2572945	12.1755758	
080208	52.260545	0.397349	
080210	42.2580027	12.1739116	
080212	51.761061	14.3486987	Deutsche Bank
080214	37.8069224	-122.267786	
080216	50.9042775	-3.4817799	
080216	59.4789251	17.7499484	
080216	57.708538	11.9690246	
080216	43.6960333	10.5178148	
080217	51.3564773	-1.1660961	
080220	51.3755155	-0.3034063	
080222	43.0851588	12.3470657	
080223	47.2652415	7.831263	
080224	49.9687925	20.4300489	PKO BP
080227	60.4653609	25.1193561	
080227	44.1117665	9.9607237	Poste
080227	49.5541179	15.9397668	
080229	53.7973799	-1.5442192	
080301	63.0973973	21.6199355	
080302	43.8897728	8.0386753	Popolare di Vicenza
080305	51.2378236	-0.5799206	
080310	-33.9152691	18.4187681	ABSA
