last_edit_date	latitude	longitude	name
061114	-33.8896752	151.2754242	The Blue Chip
061114	-33.890288	151.2744343	H
070401	51.544599	-0.4754892	
071206	49.5939496	17.2625271	Marlboro
080210	46.7717064	9.0670232	Schirmbar
080210	46.801767	9.0739181	Miret
080331	49.5760186	17.2511336	
080805	46.7392767	11.9579334	
080811	43.1233749	12.2025221	Gina
080816	-26.10636	28.05408	8 @ the towers
080830	-25.76758	28.29635	Cheeky Monkey
080830	-25.75483	28.32552	Urban Grill
080831	-25.75181	28.23505	Springbok
080831	-25.75091	28.2338	Cool Runnings
080906	-25.75199	28.20379	London
080906	-25.75205	28.20394	Europa
080906	-25.75381	28.21068	
080913	-25.71879	28.23696	Escape
080913	-25.7184	28.22707	
080913	-25.70665	28.20021	Polley's
080914	-25.74327	28.20341	Mike's Place
080914	-25.74695	28.1865	May May
080919	-26.09351	28.00151	Jac
080927	-25.85896	28.19109	Beach Cafe
081011	46.3117817	11.6019811	Caffè Predazzo
081011	46.310868	11.6019299	Caorer
081013	50.1009856	14.3968494	Cotton Club
081013	50.0935894	14.4888786	Pivní bar Na Vrcholu
081014	51.5431182	-0.2851586	Lush
081018	46.4202107	11.6737469	Bar Ladin
081018	46.4202886	11.6756878	Bar Mirella
081019	-26.0247531	28.0144972	Cafe Vacca Matta
081019	-26.02237	28.01587	Billy the Bum's
081020	50.0885025	14.4686218	Sportbar Livetip
081020	50.0850442	14.470217	Briketa
081025	46.3520863	11.6313406	Bar Giardino
081028	50.0926657	14.48906	Sport bar Na Chmelnici
081106	50.1005309	14.3975313	Sixis
081108	28.0559687	-16.7253702	Giola Bar
081120	28.0528459	-16.7275514	Mack's Bar
081121	28.0795357	-16.7349025	Sunset View
081122	28.1221416	-16.7742603	Talk of the Town
081214	28.1799034	-16.8033824	Mesa
081214	28.1804399	-16.7901124	Bolero Moca Bar
081222	65.6813778	-18.0894604	Græni hatturinn
081227	36.0717954	14.2580354	Pierre's Bar
081227	36.0700302	14.2591507	Creek Pub & Wine Bar
081228	36.0718533	14.2361869	Oajru Bar
090101	36.0448448	14.2410884	Glory of England Bar
090101	36.0305456	14.2172597	Silver Seas
090101	40.4395443	-3.6426533	QOF
090101	40.4410967	-3.6440189	Otero
090101	40.43777	-3.6394243	
090101	40.4378423	-3.6394847	Bus
090101	40.4379561	-3.6395911	La Marina
090103	41.9571645	12.4126419	F.lli Pasquini
090104	36.0442567	14.2389346	Wine Grapes Bar
090104	36.045445	14.2383021	Atrium
090104	36.0452522	14.2389856	Castle Bar
090105	64.1052642	-21.8150646	Café Bar 8
090107	36.0389811	14.2893852	American Bar
090107	36.0380215	14.2933007	Gebuba
090108	46.2094417	24.7791805	K
090110	41.9331309	12.4670136	60
090114	41.9351411	12.5345183	Al Solito Posto
090116	50.0836251	14.4904544	
090123	50.0827442	14.4572098	Café bar
090125	47.1630465	27.5598649	
090130	50.0874244	14.4691953	
090209	37.8904419	-122.2992009	Ivy Room
090209	50.0901265	14.4733979	Modena
090210	18.7175515	-68.4505465	beach bar
090212	51.5612441	-0.1126253	Arda2
090214	49.7778329	16.9154824	Escobar
090221	51.5381265	-0.1026881	Slim Jim's Liquor Store
090221	51.5360619	-0.1038983	Ladybird
090223	50.1062	14.435166	Sport bar u sparťana
090225	50.0453668	14.5581282	Klec
090301	45.590201	9.7092593	Caffè Colleoni
090302	50.0980182	14.4036951	sport bar Tornádo
090307	41.7700526	12.6574037	The Spot Club
090309	41.8686979	12.4942834	Quinto's
090315	25.5354683	34.6404488	
090317	50.1075689	14.4481334	Pepek
090318	45.7289849	11.3734391	Al ponte
090318	49.6574758	10.1635538	fundus Bistro und Bühne
090319	45.7305099	11.3776432	Diesis
090321	43.4928172	-112.0414088	Vino Rosso
090322	47.4325068	9.650561	Villa Blumenau
090324	33.14468	-117.152284	Cow Shed Bar and Grill
090324	32.660285	-117.071855	Plum Crazy Saloon
090324	32.750665	-117.130509	Redwing Bar and Grill
090324	33.134964	-117.059751	Dees Sports Tavern
090324	32.790007	-117.020338	Parkys
090324	32.794229	-116.940533	The Landing
090324	32.838015	-116.994785	Club Iguana
090324	32.751279	-117.130511	Slip Inn
090324	32.668108	-117.072345	Cozy Corner
090324	32.76745	-117.20224	Brick By Brick
090324	32.794037	-117.002898	House Of Draught No 2
090324	32.584281	-117.113324	Little Bonanza
090324	32.745223	-117.235466	Macs Cocktails
090324	32.838283	-116.995969	Santee Sports Bar
090324	32.78132	-117.100799	Jts Clubhouse Pub and Grill
