last_edit_date	latitude	longitude	name
060903	-33.988118	151.2333508	
061114	-33.8894879	151.2833268	
061124	50.952	0.7313197	
070108	33.3081232	44.4553322	
070119	33.3418376	44.4078336	
070130	-33.9487275	18.4733782	Mowbray Bus Station
070205	51.632223	-0.0375768	
070226	53.6856	-1.49742	Wakefield Bus Station
070307	52.1375801	-0.4716162	
070311	33.3077048	44.3017244	
070411	33.3102123	44.4708354	
070512	49.7021754	17.0713286	
070520	-6.8781826	107.5958964	Terminal Karang Setra
070617	53.7221224	-1.7120352	Cleckheaton Bus Station
070731	45.0760326	11.7857169	
070804	36.9611069	-3.3586253	
070814	53.6525898	-2.6287976	Chorley Interchange
070911	15.6450653	32.4833165	
070918	42.4568329	13.9255768	
070929	51.6857709	-0.0320581	
071004	-34.1362879	18.4325605	
071007	48.3698738	17.5829095	Autobusová stanica Trnava
071008	50.2525372	12.4057568	
071104	49.4488582	12.7255457	
071110	59.2056929	17.9037037	Tullinge station
071112	48.2052816	17.6438712	
071117	-37.8153642	145.2297541	Ringwood Bus Interchange
071119	44.2551398	-76.5720763	Cataraqui Town Centre Bus Terminal
071204	45.4001993	-71.8882102	
071208	54.9194681	9.5944625	
071213	59.5117902	17.6358368	Bro
071218	48.2726902	19.8271041	autobusová stanica
071223	2.2684604	102.5410945	Stesyen Bas Tangkak
071227	48.9864549	22.149502	
071228	63.0568491	9.2135514	
080101	-35.0645447	138.8586556	
080107	40.6254057	22.9756191	
080107	40.5773601	22.9639925	
080107	50.533067	14.1393914	
080113	51.6126587	-0.1766135	North Finchley Bus Station
080115	43.889445	8.0394392	
080124	48.9375035	2.1585518	
080203	48.9286436	2.1640345	
080213	53.445777	-2.0394777	
080215	53.5361258	-113.5044958	Government Centre Transit Centre
080215	53.540661	-113.5917895	Jasper Place Transit Centre
080215	53.458499	-113.4450791	Lakewood Transit Centre
080215	53.5215496	-113.5941545	Meadowlark Transit Centre
080215	53.5998003	-113.4900676	Northgate Transit Centre
080215	53.4852991	-113.5161258	Southgate Transit Centre
080215	53.5594465	-113.4716226	Stadium Transit Centre
080215	53.5248	-113.5220653	University Transit Centre
080223	51.4671225	-0.4233365	Hatton Cross
080224	46.2881396	11.4635111	
080225	49.5540674	15.9401585	Žďár n.Sáz.,,aut.nádr
080225	63.0518332	10.2846035	Støren
080304	53.7976157	-1.5488197	
080312	48.4285357	19.7949279	
080320	60.0808519	11.1531702	
080320	41.8600191	-5.41636	Estación de autobuses de Villalpando
080401	52.1346134	-122.1343554	Greyhound
