last_edit_date	latitude	longitude	name
070527	43.6492815	1.5074333	
080115	51.4802883	0.3192638	
080512	49.3086998	5.7666847	
080708	51.7980628	-0.1780525	
080714	38.5247553	-90.4858884	
080721	48.680258	10.133046	
080803	52.3426307	-0.1958744	
080817	41.9972164	-5.6612482	
080818	43.6095065	1.3545819	
080821	53.8181282	-1.551492	
080821	53.7511893	-2.4851703	
080821	-27.5582771	153.016325	
080826	41.2636612	15.8836059	
080901	39.2554974	-84.2810506	Loveland Car Wash
080901	39.2531301	-84.2966962	
080905	56.9429287	24.2521679	
080913	45.6541043	25.5929478	Spălătorie
080913	45.6558198	25.6243991	XXL
080915	49.5829952	17.244776	
080917	43.084065	5.8619689	
080919	56.926409	24.1605004	
080920	58.5434226	31.2596542	Автолюкс
080925	-35.1841526	149.1251177	Waves
080927	-35.3504976	149.2320184	Queanbeyan Car Wash
080930	53.8116806	-1.5980733	All Hand Car Wash
080930	43.1225127	5.8482292	
081001	53.8139346	-1.6003857	Bruce's Drive-Through Hand Car Wash
081011	45.595753	-73.556455	
081011	45.5835399	-73.5812325	
081014	51.5381208	-0.2770544	
081023	50.4624972	30.4495209	
081026	50.7085217	6.0884763	
081026	-25.74389	28.17907	Hermpet
081026	-25.74614	28.14847	
081029	53.4926307	-2.2186321	
081029	53.4893886	-2.2303061	
081102	-25.81892	28.28879	
081102	-25.80649	28.32977	
081102	52.2308476	21.0945744	
081103	-26.1322549	28.1785525	
081106	41.2425289	16.2943519	
081106	41.2386086	16.2946596	
081110	32.2257396	34.8264532	
081114	41.1945995	-111.9777536	Super Sonic Car Wash
081116	54.9688725	-1.6467207	
081116	54.9687986	-1.6459428	
081116	40.4398733	-79.9591888	Wash n'Run
081118	53.8908093	13.0327643	
081122	52.3173151	-0.1589862	
081125	47.8106589	7.6054093	
081203	49.5541031	8.5915396	
081203	34.7038003	-82.7959484	
081206	56.9584294	24.0527504	Statoil
081209	51.9346796	9.0880262	
081217	53.1248605	8.0960582	Autohaus Frank Schröder
081218	51.9424154	8.6496532	
081219	53.5639914	13.2873064	Picobello
081220	48.0974613	-1.6429231	
081220	49.7961117	9.9646335	DBV
081220	48.6698495	2.2765626	
081226	54.5405544	18.4613236	
081226	50.9305957	12.0227817	bft
081226	55.9390216	-3.1058101	Car Wash
081229	55.7339912	37.2243387	
081230	48.6908009	10.166308	Autowaschanlage
081230	48.6903949	10.1645309	Autowaschanlage
081231	50.3140334	7.4611857	Uwe Sturm
090101	44.2519192	-76.4611541	
090101	62.7931036	22.8081501	
090101	33.3784633	-111.6874604	
090101	51.0016875	7.0419883	Star
090103	50.2954975	18.7786819	
090105	52.3925996	9.6134815	
090107	50.2994404	18.7608915	
090108	53.5444289	49.321525	Пионер
090110	49.3012888	17.3857745	
090110	47.3313046	8.8125924	apc
090110	44.0761212	1.518497	
090111	65.2603806	-14.4085262	
090115	48.6356777	13.9643658	
090115	42.3312915	-1.8128754	
090116	47.1177938	24.4701973	
090116	49.7503622	11.5401166	
090116	47.7420536	8.9551303	
090116	52.5894706	-1.1409125	Hand Car Wash
090117	48.6829574	9.0014617	
090118	58.8508345	57.551031	Автомойка "У заправки"
090120	50.4820353	8.2842328	JET
090120	51.2097467	6.4654841	Inter-Wash
090123	42.3299038	-1.734915	
090124	49.7764137	13.3469772	
090124	50.2860611	10.9807418	Waschanlage
090126	50.0971907	14.4798733	
090126	42.3380255	-1.7864906	
090126	48.5981044	6.4930305	Éléphant Bleu
090130	50.0827638	14.4616138	
090131	51.1949068	6.4195163	
090131	51.2032011	6.4190295	
090131	51.1925107	6.4097334	
090131	51.2123481	6.4483524	
090131	51.2033546	6.4748789	
090131	51.2183289	6.4777432	
090131	51.1561039	6.5066017	
090131	51.2011857	6.3488934	
090131	51.152484	6.488636	
090131	51.1589884	6.4459424	
090131	51.1968526	6.4578034	
090131	51.1818845	6.4114866	
090131	51.1594521	6.4148401	
090131	51.178485	6.4454163	
090131	51.2165065	6.4754461	
090131	51.1827793	6.4446685	
090131	51.1658562	6.4292247	
090131	51.1372269	6.4203271	
090131	51.1360779	6.3398041	
090131	51.4564485	-0.2037696	
090201	60.1695206	-1.1680618	
090201	47.5212397	10.2731297	
090201	51.1428869	6.4109984	
090201	52.6089275	-2.0529681	
090206	54.047862	13.7532714	
090206	50.3090825	18.7544904	
090206	51.4695735	6.8812651	
090207	51.1658898	6.430285	imo wash
090209	39.2929062	-84.3123525	Mike’s Car Wash
090211	45.0333377	38.9753313	
090211	3.0379235	101.5518437	
090211	3.0382358	101.5506152	
090211	3.0381695	101.5512618	
090212	51.0930966	1.1576834	
090214	47.803225	-4.2777544	Station de Lavage
090215	53.4600093	14.2080394	
090215	52.6586617	1.2835696	Hand Car Wash
090216	51.5586581	6.9425363	
090218	53.575949	8.1111435	Marktkauf
090219	55.9062336	37.8649909	
090220	50.9432912	6.9520445	
090220	49.2797589	17.402118	
090220	49.2797589	17.402118	
090222	59.4242472	24.6468702	Statoil Haabersti
090223	53.8069198	-1.6435729	Hand Car Wash
090225	52.9265274	1.2873827	
090226	51.186779	6.4207247	
090226	51.1849067	6.4143226	
090226	60.2074166	24.9466118	ABC! Wash
090301	44.1122616	24.3520198	
090302	43.4243093	-80.2851381	
090303	50.3518261	9.0478111	Shell Autowäsche
090304	50.8302618	10.9691359	
090307	55.9138131	37.837707	
090307	50.9331511	5.9498199	
090308	43.798411	-79.1396719	Island Car Wash
090308	30.4416854	-97.7504486	
090308	19.4192548	-70.660278	
090308	19.4189898	-70.6607774	
090312	42.3119904	-1.9537036	
090312	51.4796992	7.4324423	
090313	2.1458899	102.7681715	
090313	50.7289642	5.9989037	
090314	-35.1173683	147.3453783	
090314	51.2145207	13.7301961	
090314	47.0042062	15.2675146	
090315	48.1649908	12.1639145	
090316	51.591513	45.93894	Элвис
090316	2.5054676	102.8236015	
090317	54.3061609	13.0577234	
090317	54.3300211	13.0674534	
090318	42.8184498	-71.4129651	
090319	33.6740868	-117.8884975	South Pacific Car Wash
090320	44.9195595	-123.0000577	Roberson's Car Wash
090321	63.0938966	21.6433284	
090322	-27.536119	152.982571	
090322	48.1632414	12.1724337	
090322	48.8232387	11.7815169	OMV
090323	53.1260188	8.087037	Autowäsche
090324	50.0831983	14.4717893	
090324	55.7293354	37.6173277	
090328	53.5849757	9.4723479	
090330	66.0702348	-18.6548448	
090330	50.0039211	12.1005229	
090401	48.1319485	17.2083589	
090403	47.811785	7.61022	HEM
090403	47.8110664	7.6082174	
090404	19.7647897	-70.5108646	Max Wash Kaercher
090404	46.9862701	28.8318706	
090404	46.973358	28.8570115	
090405	51.5887744	-0.1189468	
090405	56.9551641	23.6332555	
090405	40.1710752	44.5202785	
090406	19.4727944	-70.8139037	Car Wash Cachirula
090406	42.0522812	-1.5966146	
090406	41.9701142	2.7730417	
090407	56.637931	47.9110493	
090408	45.6873003	9.6503883	
090410	48.6468073	8.0884138	Wasch-Park
090413	19.7697828	-70.5039046	Sosua Car Wash
090413	53.7162403	-1.7787717	
090414	49.4484843	18.7811423	OMV
090414	36.3631887	127.4477138	
090415	19.4845512	-70.7187454	Max Car Wash
090415	58.3924672	15.6202701	Stångåbuss
090415	48.0103399	7.8548247	
090415	60.0484479	30.4652999	
090415	41.9837223	12.0848319	
090416	53.90933	27.46717	Мойка-Р
090416	53.88249	27.47608	Мойка-Р
090416	53.92465	27.48715	Мойка-Р
090416	53.90761	27.49395	Мойка-Рх
090416	53.88474	27.49007	Мойка-Рх
090416	53.86833	27.49404	Мойка-Х
090416	53.92437	27.50953	Мойка-Рх
090416	53.86455	27.52728	Мойка-Рмхс
090416	53.87509	27.50599	Мойка-Р
090416	53.89693	27.50884	Мойка-Рх
090416	53.90521	27.53095	Мойка-Рх
090416	53.90045	27.52133	Мойка-Р
090416	53.90311	27.53296	Мойка-Рх
090416	53.89852	27.51144	Мойка-Р
090416	53.91766	27.50185	Мойка-Рх
