last_edit_date	latitude	longitude	name
070312	-33.9471867	18.4765713	Damelin College Mowbray
070608	-1.3152725	36.8243021	Kenya Water Institute
070611	-1.2915783	36.8236296	Kenya Polytechnic
070805	50.9897038	-0.4778384	Chichester College, Brinsbury Campus
070813	51.4776021	-0.3418439	West Thames College
070817	-33.9224782	18.5175634	Old Mutual Business School
070818	63.4384777	10.4494512	Dronning Mauds Minne Høyskole
070820	40.3041147	-76.9305453	
070920	52.5121868	5.4774706	ROC
071013	60.3910311	5.3328002	Kunsthøgskolen
071013	-31.9876924	115.9158902	TAFE
071021	52.9383602	1.2405799	Kingswood Centre
071107	-33.971575	18.5112543	College of Cape Town (Crawford Campus)
071219	30.9087644	75.8609357	CMC/CDC
071228	45.9579468	-73.5633193	Institut St-Jacques
080101	-35.0686474	138.8548276	
080103	-33.9602695	18.4719304	Varsity College
080106	51.9247914	4.3916514	
080106	34.0875543	-117.310714	San Bernardino Valley College
080111	51.4689331	9.9856291	RUZ
080114	-37.8840181	145.0905909	GippsTAFE Energy Training Centre Chadstone Campus
080119	15.3095759	-61.3784759	Dominica State College
080120	51.8950368	-8.4816139	Crawford College of Art and Design
080121	43.7107991	10.401278	Liceo scientifico "Ulisse Dini"
080123	43.7106772	10.4028818	Liceo Classico "Galileo Galilei"
080124	61.0131311	24.4776069	HAMK Meijerioppilaitos
080127	51.4781947	-0.0113806	Meridan College of Computing
080211	11.1010104	76.9642928	SREC BSC block
080217	51.225742	4.4356683	Karel de Grote hogeschool
080219	44.5713532	25.9425422	
080220	55.8852272	-3.5169376	
080220	38.3494296	-0.4931027	IES Jorge Juan
080220	38.3491132	-0.4926393	Escuela Oficial de Idiomas de Alicante
080223	52.582856	-1.1162941	South Leicestershire College
080227	52.186298	0.1970178	HSCS Nursing School
080305	3.0922624	101.5425971	
080305	3.0894977	101.5598637	Politeknik Sultan Salahuddin Abdul Aziz Shah
080320	-33.9320626	151.0227623	Bankstown Senior College
080323	42.2471746	-83.01729	
080324	55.4009828	11.3382341	Slagelse Gymnasium og HF-kursus
080325	54.0627173	-2.8269402	Lancaster and Morecambe College
080327	40.4754823	15.1159354	Istituto professionale di Stato
080329	33.6083525	73.0617318	Gordon College
080330	52.4398768	-1.4580435	Eburne Neighbourhood Learning Centre
080412	50.8735208	5.825946	Stella Maris College
080412	33.6796363	73.0187242	
080414	45.0656368	11.7929488	Istituto Magistrale Carlo Roccati
080414	45.0673601	11.7929387	Istituto Tecnico per Geometri "Amos Bernini"
080414	12.9248764	80.1999028	asan memorial college
080417	-18.1636895	178.4351252	Pacific Theological College
080417	-18.135176	178.4374168	Fiji School of Medicine
080417	2.9935739	101.7071778	Kolej Kedua
080417	2.9934666	101.7074039	Kolej Kelima
080417	2.9949984	101.707399	Kolej Tun Dr Ismail
080417	2.9945612	101.7059757	Helang
080417	2.9927136	101.7076779	Kelah
080417	2.9932597	101.7086086	Baung
080417	2.993995	101.7081056	Kenanga
080417	2.9942464	101.7084084	Mawar
080417	2.9942624	101.7073918	Melur
080417	2.994523	101.7077348	Melati
080417	2.9927392	101.7082299	Kalui
080417	2.9931238	101.7081324	Jelawat
080417	2.9943474	101.7067733	Merpati
080417	2.9941119	101.706218	Raja Udang
080417	2.9936425	101.706122	Enggang
080419	33.6429504	73.0639002	
080421	51.6432079	5.9413291	Elzendaal College
080422	31.6355264	74.9664088	Sri Guru Ram Das Medical College
080422	59.4400715	18.0638727	Åva gymnasium
080422	31.6338968	74.9650269	SGRD Medical College
080425	13.0849115	80.218133	Kandasamy Naidu College
080425	13.0864633	80.219487	Valliammal College for Women
080501	44.8460853	-0.6217481	AFPA centre de formation professionnelle des adultes de Bordeaux-Caudéran
080505	47.3276796	5.04058	Groupe ESC Dijon Bourgogne
080507	13.019064	80.2540388	Anna Institute of Management
080509	53.6901429	-1.5011411	West Yorkshire Police Training School
080510	54.5776825	-5.9381224	Edgehill College
080511	37.628362	-122.4634754	
080511	37.6310701	-122.4694693	
080512	13.0176063	80.2606876	MGR Janaki College
080513	-18.1261626	178.4407728	Fiji Institute of Technology
080517	46.783483	-0.1638003	Maison familiale rurale
080520	47.1333558	24.4926316	Liceul Sanitar
080524	26.6607728	79.173105	
080526	53.3273271	-1.4670671	Sheffield College - Norton Site
080527	60.4302912	22.2972411	
080528	38.1369563	13.3513838	Liceo Scientifico Statale Stanislao Cannizzaro
080528	38.135012	13.3542248	I.T.I.S. Vittorio Emanuele III
080529	38.1239174	13.3436109	liceo classico Umberto I
080529	38.1281576	13.3432161	Liceo Scientifico Albert Einstein (ex III Liceo)
080602	51.5294849	-0.799431	Berkshire College of Agriculture
080603	45.6545712	13.7777008	Istituto Comprensivo "Dante Alighieri"
080605	38.1334944	13.3535983	Liceo Classico Giuseppe Garibaldi
080607	51.1752382	-0.6168386	Godalming College
080612	51.0042426	7.5759684	Kreisvolkshochschule Oberbergischer Kreis
080614	35.6209411	139.3422587	山野美容芸術短期大学 (Yamano College of Aesthetics)
080618	-33.9245719	18.5065387	College of Cape Town (Pinelands Campus)
080623	47.507217	19.0499449	BGF-KVIFK
080628	35.6880495	139.3292076	創価女子短期大学 (Soka Women's College)
080628	35.6935008	139.3338854	東京純心女子大学 (Tokyo Junshin Women's College)
080629	-9.4453679	147.1443833	Port Moresby Technical College
080629	-9.4877665	147.1794108	Don Bosco Technical College
080630	47.2524577	9.6115004	Berufsschule
080701	51.5267018	-3.4897079	Pencoed College
080704	45.5056268	9.1906359	Liceo Scientifico Statale Bertrand Russel
080706	51.5404081	0.0089304	Newham CoFE, Stratford Campus
080706	-9.4163537	147.174854	Administrative College
080707	16.6826565	74.4696157	DKTE Engineering college
080710	51.4904206	0.3564258	Thurrock Gateway Academy
080712	41.7475691	-92.7208998	Grinnell College
080712	51.362279	-0.1950204	SCOLA
080713	45.5005044	9.1780873	Istituto Professionale di Stato per l'Industria e l'Artigianato Ercole Marelli
080713	50.6200521	6.9214298	Garten und Landschaftbau
080714	32.3424866	34.9111454	מדרשת רופין
080715	49.2040055	6.9184802	Lycée Polyvalent Condorcet
080716	-5.0665649	39.1143839	Popatlal Teachers College
080722	20.6608271	-105.2447189	Escuela Secundaria Técnica 15  (La pesquera)
080722	20.6599678	-105.2449077	
080723	-5.0775932	39.1186773	Sahare Teachers College
080726	43.1059923	0.7214399	Lycée privé général, technologique et hôtellier Sainte-Thérèse
080726	43.1117697	0.7445369	Lycée général et technologique Bagatelle
080728	-17.821569	31.0442425	Ilsa College
080730	48.8380505	2.5548619	G.S. Jules Verne
080801	-3.2950366	37.3249412	
080801	-3.3304577	37.3345059	Police College
080801	-3.3354436	37.3379381	Moshi University College of Cooperative & Business Studies
080802	-17.8219849	31.0522019	St. Dominic's Convent College
080802	11.0223964	76.9780502	Sri Ramakrishna Arts and Science College for Womens
080802	11.0213038	76.9883559	Sri Ramakrishna Dental College
080805	11.4021309	76.7078353	JSS college of pharmacy
080807	10.9378137	76.9590823	sri krishna arts and science college
080808	42.0199547	-87.7478035	Oakton Community College
080813	-22.3977157	26.6910575	
080815	53.425659	-2.9229023	Liverpool Community College
080816	47.7163218	8.6306382	BBZ Schaffhausen, Birch
080817	52.2490522	0.6997681	West Suffolk College
080818	37.7547014	-122.4207887	CCSF
080820	11.245921	75.970999	Darul Uloom Vazhakkad
080820	-37.7762269	144.8732532	The Student Village
080821	11.32158	75.934214	NIT Calicut
080821	11.314731	75.926982	CEDT [I]
080822	59.3236882	14.5138344	Kulturskolan
080822	59.3236424	14.5224348	Bregårdsskolan
080826	51.4068562	-0.3049733	Kingston College
080826	51.4990415	-0.8947886	Shiplake College
080826	55.8510542	-4.2500616	Glasgow College of Nautical Studies
080826	51.8907116	-0.5204325	Dunstable College
080828	55.7536358	-4.1586036	South Lanarkshire College
080830	51.4985822	-0.1390719	
080830	4.9247441	-75.0661478	Claret
080830	4.9244876	-75.0654955	Alfonso Arango Toro
080901	51.5355195	-0.9147097	Henley College (Rotherfield Campus)
080901	63.1053175	21.5958325	Yrkeshögskolan Novia
080904	45.6580021	25.5856671	Colegiul de Arhitectură
080905	56.4644646	-2.9786802	Dundee College Constitution Campus
080908	44.2107244	12.0384122	Istituto Tecnico Commerciale "Matteucci"
080914	19.0446224	72.8203162	Fr Agnel Ashram
080914	19.0445869	72.8204271	Fr Conceicao Rodrigues college of engineering
080917	33.671486	73.0728914	Islamabad Model College for Boys I-8/3
080917	33.6801716	73.0644628	WAPDA Training College
080917	33.6761218	73.0555879	Polytechnical Institute for Women
080917	51.4569785	7.551892	Katholische Akademie
080917	33.6719902	73.0732169	
080922	43.0011812	-78.7851549	State University of New York at Buffalo - North Campus
080923	38.3780148	-0.4912149	Instituto de Bachillerato Virgen del Remedio
080927	-33.9265197	18.4245917	Capetown College City Campus
080927	47.3855547	8.0442971	Turnhalle 1 & 2
080928	53.7756351	-1.7331575	Bradford Academy
080930	52.3716925	6.4536884	Reggesteyn
081001	60.3662939	5.3694952	Høgskolen I Bergen, avd. for lærerutdanning
081001	46.7877166	-71.2822855	Cegep Champlain-St. Lawrence
081004	47.393408	8.0513152	János-Tamás-Haus
081005	51.5075687	-0.2765006	Acton & West London College
081007	44.2118891	12.0391864	Istituto Tecnico per Geometri "L. B. Alberti"
081013	50.9233881	-0.4356749	Rydon Community College
081015	53.2211129	8.8019963	Berufsbildende Schulen - Zweigstelle
081018	54.7772756	-1.563351	The College of St Hild and St Bede
081019	-33.9092296	18.5376385	Northlink College (Wingfield Campus)
081023	51.512836	7.0915229	Volkshochschule
081028	43.0039504	-81.1964544	triOS College
081028	3.0784024	101.4949568	UNISEL
081029	53.4050449	-1.4906812	Sheffield College Hillsborough Campus
081030	63.7538678	11.3129388	(HiNT) Hogskolen i Nord-Trondelag, avd. Levanger
081030	-32.6304002	151.5918401	Tocal Agricultural
081030	44.4616597	26.3279089	Liceul Silvic
081030	55.3664709	10.3951835	Dalum Landbrugsskole
081031	52.480923	-2.1631997	Mere Education Centre
081031	38.3765713	-0.4923007	
081031	12.8635503	80.247357	National Maritime Academy
081101	50.1090993	14.5562132	SOU gastronomie a podnikání
081101	45.842588	1.1769942	Lycée agricole des Vaseix
081103	6.0743239	80.2335364	Advanced Technical Institute - Labuduwa
081103	39.9334166	32.825556	H.Ü. Ankara Devlet Konservatuvarı
081105	51.1952876	6.6973096	VHS
081108	30.0702251	77.1950379	Asian institute of management studies
081109	13.0465223	80.2774986	Queen Marys College
081109	13.0776941	80.2421231	
081110	13.0400075	80.268358	Sanskrit College
081112	-38.0704807	145.1796122	Fire Services South Eastern Training Ground
081114	53.7461922	-0.3330782	Hull College
081117	11.4126536	76.710316	Government Arts and Science College
081120	53.7982942	-1.5879313	National Martial Arts College
081122	-31.9560284	115.7706437	Wollaston Theological College
081123	53.3131425	-1.120587	North Nottinghamshire College
081124	51.486637	5.6578553	ROC ter Aa
081124	51.4664924	5.4946367	ROC
081124	-37.8136314	145.1142479	Box Hill Institute of TAFE (Elgar Campus)
081128	12.5496672	80.1448235	Hindustan Maritime Institute
081207	12.9454195	80.2090772	National Institute of Ocean Technology
081210	40.3775893	-3.738523	I.E.S Puerta Bonita
081213	7.0867751	125.6282848	Computer Sense College
081213	53.4364679	14.541101	Wyższa Szkoła Humanistyczna
081214	51.4733125	-0.9674363	The Chiltern College
081214	52.0458192	4.3146269	Wellantcollege
081215	53.3148491	-1.1207805	
081215	53.3135056	-1.1224542	
081216	7.0883304	125.6235878	Assumption College of Davao
081217	12.9855336	80.2627223	Kalakshetra School of Fine Arts
081217	-35.3498127	149.2437024	TAFE Illawarra Institute
