last_edit_date	latitude	longitude	name
061130	-27.580904	151.9646666	Southtown Dental
070727	59.9448929	10.9294311	
070903	52.228395	-1.0780296	
071125	51.5909309	5.3231662	De Raadt
071228	51.3677243	-0.1230963	
080213	50.8132477	8.6904297	
080219	51.3580253	-0.1461285	
080404	51.5100985	-0.1971457	
080404	51.5151433	-0.1909195	
080427	53.4080624	-1.5041724	
080505	53.3655293	-3.0268206	Castle Dental Care
080528	51.3892258	-0.2068588	Morden Park Dental Practice
080530	53.4203792	-1.4953221	Halifax Road Dental Care
080702	51.021358	-0.4526147	
080705	53.4196966	-1.4801709	Southey Hill Dental Surgery
080708	53.3464589	-3.0039122	Church Road Dental Surgery
080708	51.4875012	-0.1114612	
080721	51.0660326	1.061512	PennyPot Dental Practice
080727	51.8828516	12.9037931	
080729	53.4318275	-1.4781117	Parson Cross Dental Surgery
080731	53.4177553	-1.44651	
080811	-25.77228	28.21495	
080811	-25.77239	28.21666	
080823	-25.74109	28.29774	
080824	-25.81271	28.26909	
080824	-25.8053	28.2716	De Kock
080824	-25.8176	28.26774	
080826	-26.06255	27.90258	
080830	-25.75487	28.32541	
080830	-25.76639	28.35832	Life
080831	-25.77286	28.28047	Barnard
080831	-25.75138	28.23558	Hatmed
080904	53.3945129	-2.8919915	Gentle Dental Care
080904	-25.7964	28.32207	Minné
080904	-25.78452	28.31731	
080906	-25.75209	28.20409	Intermed
080912	51.239494	-0.5647732	North Dene Dental Practice
080913	-25.70356	28.24066	
080913	-25.70491	28.24027	
080913	-25.71835	28.23091	
080914	51.5119358	0.3653536	Sunnyside Dental Surgery
080914	-25.74574	28.19468	
080916	-27.44605	152.98657	Peter Allen & Associates Dental
080919	51.2779959	-1.0888548	Stratfield Road Dental Practice
080919	53.7773087	-1.5450215	I. D. Marker & Associates
080927	-25.86025	28.18725	
081001	12.9369841	100.8845669	
081001	48.147956	16.310604	
081004	-25.77774	28.28727	Pierre Ferreira
081004	-25.6806115	28.2196748	Jan Van Rensburg
081005	51.5021698	-0.276221	Acton Town Dental Practice
081011	34.6872978	-82.8350031	Mouzon Family Dentistry P.A.
081019	53.4246534	-1.449005	Dental Surgeon
081023	51.4961262	-0.2629336	Chiswick Park Dental Practice
081023	51.4264154	-0.3563521	
081023	51.4233096	-0.3586103	
081026	-25.74006	28.19227	
081026	-25.74751	28.16874	
081102	-25.81013	28.29647	
081102	-25.77522	28.30638	
081117	53.464174	-1.4697709	HDS Dental Care
081117	52.196113	-1.5922109	Wellesbourne Dental Surgery
081123	51.8988964	-2.0733859	
081124	53.2673638	-2.1470112	
081128	51.1482629	-114.0718798	Panorama Hills Dental Centre
081129	53.4737924	-1.4870783	
081203	51.2562387	-1.1332035	
