last_edit_date	latitude	longitude	name
061102	51.6192216	-0.8361756	
070308	51.627103	0.4173041	The Western Road Surgery
070308	53.340651	-1.9411289	Chinley Surgery
070331	51.9100957	-1.1567595	North Bicester Surgery
070610	52.0983385	0.2804226	Linton Health Centre
070622	52.6429417	-1.0622622	
070719	49.9732022	14.3942688	Zubní Laboratoř
070801	54.070969	-1.9998133	Grassington Medical Centre
070818	52.0824575	0.0187794	Orchard Road Community Health Centre
070818	52.0802503	0.0188752	Orchard Surgery
070827	52.1154235	0.1698268	Sawston Medical Centre
070830	51.5081095	0.2827167	South Ockendon Health Centre / Bluebells
070919	51.7594703	-0.0109663	The Limes Surgery
071004	53.3458673	-2.8217113	Margaret Thompson Medical Centre
071004	53.3582757	-2.8942468	Long Lane Medical Centre
071012	51.4981965	0.2582613	
071020	52.0297807	0.0379159	Barley Surgery
071025	52.0768673	-0.0524909	Bassingbourn Surgery
071106	51.735542	0.00385	Nazeing Valley Health Centre
071124	52.0701267	-3.1257106	Hay-on-Wye Medical Centre
071126	52.147236	0.1341212	Shelford Health Centre
080101	53.7481179	-0.4324326	The Anlaby Surgery
080116	53.7647098	-0.3560014	Alexandra Health Care Centre
080118	52.0628366	0.1972031	School Street Surgery
080118	52.0635696	0.2008676	High Street Surgery
080202	53.3956617	-2.9116949	Lance Lane Medical Centre
080213	53.4631731	-1.9922077	
080223	52.2440021	0.4127473	Oakfield Surgery
080228	51.4793535	0.3236518	Grays Health Centre
080228	51.5203477	0.4289751	Hassengate Surgery
080228	51.4803427	0.3304826	Primecare Medical Practice
080229	51.476162	0.2900946	St Clements Health Centre
080302	53.3817044	-2.9554588	The Sandringham Medical Centre
080311	54.5183617	-1.3184289	
080317	53.3915023	-2.9165637	Wavertree Health Centre
080318	53.7319667	-0.395001	The Oaks Medical Centre
080403	53.7115563	-1.5100544	Outwood Surgery
080404	51.5163397	-0.1910568	
080408	52.458467	0.3021098	St George's Medical Centre
080415	53.7366765	-0.3618559	Marmaduke Street Health Centre
080418	52.0253244	0.2394556	The Old Rectory Surgery
080418	51.3546094	1.1436053	Herne and Broomfield Surgery
080421	52.7002185	-2.752183	South Hermitage Surgery
080501	53.7463713	-0.3561776	Wolsley Medical Centre
080501	53.7475516	-0.3535528	Clarendon Health Centre
080503	52.0181548	0.2368865	Borough Surgery
080503	52.022057	0.2412987	Gold Street Surgery
080510	47.501807	19.052692	Szakorvosi rendelő
080513	51.5105229	0.3670621	Rowley Road Surgery
080518	53.644662	-1.5070892	Chapelthorpe Medical Centre
080530	53.4277896	-1.4931079	Foxhill Medical Centre
080602	52.3437006	0.5106256	White House
080602	52.3436587	0.510303	Market Cross
080604	51.5306929	0.0578313	Market Street Medical Group
080605	51.5272753	0.0584113	45 White Horse Road Clinic
080605	51.5314281	0.0456775	Boleyn Medical Centre
080623	47.4954418	19.0568069	Háziorvosi rendelő
080626	52.0471226	-0.0223674	
080628	51.5234298	0.4059533	The Surgery
080708	53.3892226	-1.4160549	Darnall Community Health
080714	51.631317	0.4223252	Billericay Health Centre
080715	53.4317416	-1.4584726	Park Dental Care
080719	51.5559408	-0.1111882	
080722	53.4821398	-2.8905049	Kirkby Health Suite
080726	53.8451146	-0.4174735	The Surgery
080727	51.882896	12.9037966	
080729	53.4319298	-1.4777079	Margetson Surgery
080731	53.4192285	-1.4478876	Firth Park Clinic
080731	53.4173313	-1.4458292	Firth Park Surgery
080802	53.8301183	-0.4350804	Minstergate Surgery
080803	52.345335	-0.1767808	
080805	53.4174244	-1.4355965	Bluebell Medical Centre
080806	52.3226539	1.1414175	GP Surgery
080812	54.7355973	-1.5261387	Bowburn Medical Centre
080818	52.2458225	0.7145323	The Guildhall Surgery
080819	53.7786109	-0.2595811	
080819	53.4188782	-1.478424	Southey Green Medical Centre
080901	51.4433962	-0.1203326	Palace Road Surgery
080901	53.7573231	-0.2543828	Greatfield Clinic
080902	47.5568842	8.5093409	Arzt
080902	55.956253	-2.9747194	Dr Reeks and Partners Health Centre
080904	51.1997243	3.8225418	
080912	50.3764346	7.4210428	
080915	52.2179916	21.0433236	NZOZ "Drag-Med"
080919	51.557355	0.480917	Primecare Medical Centre
080928	53.386347	-2.9729023	Riverside Centre for Health
081003	52.3340715	-0.1873236	Charles Hicks Centre (Ermine Street Surgery)
081007	53.7751404	-1.7591352	
081007	49.5337032	11.8032814	
081010	53.3944975	-2.892206	Dr. P. E. Walker
081011	51.2232237	10.3077948	Dr. med. Gerhard Petersheim
081013	53.4366515	-1.4960027	Grenoside Surgery
081019	52.3818308	-0.0022824	
081019	53.4217676	-1.45973	Elm Lane Surgery
081019	53.4355322	-1.4485987	
081029	51.6257044	-0.3902475	Oxhey Drive Medical Centre
081029	53.495125	-2.2227921	Whitley Road Medical Centre
081029	53.4926319	-2.2254696	Surgery
081102	54.7556212	-1.6241661	
081103	53.7705603	-0.2906315	
081106	53.7637034	-0.2940053	Park Health Care Centre
081107	52.2426774	21.0912594	
081116	52.190359	-1.7131066	Arden Medical Centre
081117	51.728956	10.2482227	
081118	47.7827913	16.1019981	Dr. Grill
081122	52.3179031	-0.0807343	St Ives Community Health
081205	53.4053529	-2.9472201	Edge Hill Health Centre
081205	52.058819	-0.0199125	Roysia Surgery
081206	51.5704194	0.0028199	Allum Medical Centre
081207	51.5549045	0.0033688	
081207	51.5548677	0.0037496	
081207	51.5548677	0.0039803	
081207	51.554761	0.0043236	
081221	51.3484129	-1.1402387	Morland Surgery
081222	-41.2494891	147.2173396	
081223	49.390159	12.1328266	Dr. med. Joachim Stammwitz
081226	52.2520405	-1.385261	Southam Clinic
081226	52.2514018	-1.3853775	Southam Surgery
081226	51.4826004	-0.9709184	Emmer Green Surgery
081226	52.6204116	8.7994958	Dr. Dammmann
081226	52.0290185	21.029747	
081227	49.2875439	10.2641258	
081228	52.2484505	-1.3985537	Saint Wulfstan Surgery
081229	49.4140155	11.0762297	Dr. Mohr,...
081230	48.1613066	17.1642368	
081230	59.6108689	10.4076682	
081230	-29.7962133	30.8394615	
081230	47.3790507	9.8940563	Dr. Schwarzmann
081230	52.3148362	13.0254388	
081231	53.2557658	-2.158807	Weston Clinic
090101	-41.2911966	174.006473	Picton Medical Centre
090102	49.8545917	14.6957855	
090103	48.8885508	2.2218704	Centre de santé des Fontenelles
090105	52.5187296	13.4218596	
090108	50.1066961	14.376361	Markéta Šranková - dětská ordinace
090108	53.082599	-1.1621119	
090109	52.1311934	21.0728803	
090109	49.8558321	13.6056849	
090109	60.1412425	-1.2782444	
090110	52.0826954	8.0021999	Schriewersmann
090111	51.9116567	-0.1770506	Chells Surgery
090111	49.7438827	13.3331153	
090111	52.3226446	9.7468038	Kunz
090112	53.7858224	-1.7777458	Murghal Medical Centre
090117	45.5506625	9.1758379	Dr. E. Cavenago
090118	51.4742407	-0.0932482	Camberwell Green Surgery
090119	51.3177836	6.5621792	Praxis Hermann & Schaube
090120	50.3964322	7.462771	
090120	53.3189496	7.4947112	Dr. Hinrichs
090121	51.5320232	0.0195643	The Project Surgery
090121	51.5331658	0.0227744	
090121	51.0256435	13.6280418	Dr. Trausel
090121	52.6479778	10.0969472	Praxis Dr. Fenger
090122	48.8455559	8.5890978	Dr. Norbert Tervooren
090122	48.8456124	8.5890458	Dr. Harald Brozio
090122	48.1390381	11.5394328	
090124	51.8467335	-1.3544077	Woodstock Surgery
090124	57.001021	15.2852913	Lenhovda vårdcentral
090124	53.2388945	-1.4266931	Holywell House Medical Centre
090124	48.0989909	8.424315	
090124	50.0959944	8.2753761	Dr. M. A. Scholl
090124	50.0779906	8.2491753	Kinderärztin Dr. Seyeddi
090125	52.4294224	9.427398	Medicum Wunstorf
090126	51.1202295	13.6037019	
090126	53.3859447	-2.6562638	Penketh Health Centre
090126	51.4204023	7.0246802	Hans Ulrich Glaß
090126	51.4205423	7.0248987	Dipl.-Psych. Monica Muckel
090126	51.4205423	7.0248909	Dipl.-Psych. Niels Arens
090126	51.4210764	7.025763	Dr. med. Christian Perret
090126	51.4210849	7.0257513	Dr. med. Juliane Niesert
090126	51.421091	7.0257357	Gerhard Behl
090126	51.4210971	7.0257182	Rudolf Kimmel
090126	48.4742709	7.9421771	Ulrich Geiger
090126	48.474267	7.943293	Dr. Michael Glatt
090127	-35.683033	174.3220881	Paramount Medical Center
090128	52.6068339	6.8493926	Arztpraxis Dr. Mittelstädt
090128	52.2173529	20.9842676	SZPZOZ dla Szkół Wyższych
090128	51.0489528	13.7900085	Dr. Claudia Krenkel und Dipl.-Med. Regina Krug Gemeinschaftspraxis
090128	2.1626309	102.5860478	Klinik Desa Serom 3
090129	1.9610205	102.6421907	Klinik Desa Parit Jawa
090130	52.9909968	-6.9859203	Dr. Anthony J. Reeves
090131	48.8473251	8.5504235	Praxisgemeinschaft Lochner / Zimmer / Kreppel-Zimmer / Mohl
090131	49.5736983	11.1969534	
090131	49.321196	7.0956584	Dr. Wahl
090201	52.317315	-0.174817	Roman Gate Surgery
090201	41.8363554	-88.1039408	
090202	51.553928	-0.1224582	Partnership Primary Care Centre
090202	52.2181378	20.971791	
090203	47.681543	9.2004235	Dr. Neidhard
090204	52.2423625	21.079963	
090204	52.2419132	21.0752198	
090205	1.9099433	102.8673381	Klinik Desa Separap
090207	48.8149674	15.2879607	Fitz Thomas Dr
090208	51.1158726	13.6303108	
090208	51.8673798	9.0937413	
090208	51.8679957	9.0912351	
090208	51.5618582	-0.116602	Andover Medial Centre
090209	50.7056951	13.0954718	Dipl.-Med. Sabine Blätterlein
090209	47.6531284	8.5707791	
090210	52.2227297	21.0840766	
090210	51.2621974	-1.1083434	Sandles Health Clinic
090211	50.3421459	9.2124219	Dr. med. Müller / Dr. med Rajkovic
090211	60.4136852	5.2204437	Helsetunet
090211	55.0024338	-1.4980032	Garden Park Surgery
090212	51.5082292	0.2840847	Sancta Maria Medical Centre
090213	53.3248168	-2.6964963	
090213	53.2024689	10.4386765	Gemeinschaftpraxis
090213	53.2037064	10.4411498	Gemeinschaftpraxis
090213	51.544499	-0.1056154	Islington Central Medical Centre
090214	53.3637646	-1.510486	Greystones Medical Centre
090214	51.8812942	-2.1070948	
090214	42.3807501	-71.098099	Union Square Family Health
090215	45.9061096	10.843517	Ambulatorio
090215	51.4373772	-2.8459038	
090215	43.5291146	5.4147146	
090216	52.2426845	-0.868895	Christchurch Medical Centre
090216	52.242517	-0.8689795	King Edward Road Surgery
090216	53.3541703	-1.5131278	Ecclesall Medical Centre
090217	51.6721247	-2.016256	
090217	46.367682	11.354174	
090217	48.1015885	-4.0007395	
090217	47.6765353	12.0123521	Gemeinschaftspraxis Volker und Florian Müller
090218	51.4398276	6.9855279	Fischer, Stanka - prakt. Ärztin
090218	40.3266104	-0.0788224	Consultorio médico del Servicio Valenciano de Salud
090219	53.2237867	-2.9588803	Saughall Medical Centre
090220	55.0055541	-1.6532942	
090220	51.4761742	7.4591511	
090220	51.7623495	-1.2064122	Bury Knowle Health Centre
090220	51.5483924	-0.1071248	The Family Practice
090220	52.8497823	11.1529108	Dr. med. Petra Hauptmann
090221	40.4562865	0.2732584	Ambulatorio
090221	49.9738263	9.2998544	Dr. Wahlig
090222	52.0068673	-2.6097764	Fownhope Medical Centre
090222	54.9700444	-2.4643432	Haltwhistle Health Centre
090222	15.7792934	-87.451455	Juventud Clinica Dental
090222	51.8999276	-0.2010142	Southgate Health Centre
090223	53.7421233	-0.1998532	Hedon Group Practice
090224	50.8453288	-0.1960535	Hangleton Medical Centre
090224	51.5617178	-0.3727287	Simpson House Medical Centre
090224	51.817972	-0.7895511	Oakfield Surgery
090224	52.0826105	0.4353764	Christmas Maltings Surgery
090224	51.3569878	-0.1287623	Wallington Medical Centre
090224	-37.7413679	144.9016499	Keilor Road Medical Surgery
090224	53.6721721	-1.5236095	Lupset Health Center
090224	53.6976533	-1.6402997	West Park Surgery
090224	-37.8014263	145.3078413	Kilsyth Medical Group
090224	52.6286523	-0.2791244	Hodgson Centre Surgery
090224	53.8073918	-1.5410485	Carlton Surgery
090224	53.7186897	-6.3467197	Saint Fintans Medical Practice
090224	53.6865367	-1.6030251	Chickenley Medical Centre
090224	53.7287194	-1.5595983	Leigh View Medical Centre
090224	53.7777166	-1.5450561	Crossland Surgery
090224	53.7727826	-1.7308873	Rooley Lane Medical Centre
090224	51.5503707	-0.3045395	Wembley G.P Surgery
090224	53.7450353	-1.6066182	Morley Health Centre
090224	51.2295526	-1.1414886	Beggarwood Surgery
090224	47.6291041	-122.1391276	Interlake Medical Center
090224	54.87229	-1.3692967	
090225	40.842856	-3.3710904	Consultorio Local de Casa de Uceda
090225	45.4355107	28.0547665	Vitalmed
090225	45.4374706	28.0551212	Centrul Medical Irina
090226	40.8900276	-3.2201118	Consultorio Local Puebla de Beleña
090226	40.9249757	-3.1472626	Consultorio Local Aleas
090226	40.9255177	-3.1889766	Consultorio Local Beleña del Sorbe
090226	46.361001	17.6618597	
090226	45.5463988	9.1817068	Ambulatorio Polispecialistico Daymedical
090226	54.1473602	10.3412836	Molck
090226	50.7132119	-3.073935	Seaton and Colyton Medical Practice
090227	46.8689485	12.8768929	Dr. Eder
090227	50.2433583	8.2552983	Dr. Reuter / Dr. Schultheis
090227	53.7776371	-2.7108693	Lytham Road Surgery
090228	51.7177945	-1.2448238	Kennington Health Centre
090228	48.0356336	14.2047096	Dr. Oskar Tauber
090228	51.0864304	6.5689055	Dr. Burbach
090301	49.1180196	20.4462639	Zdravotné stredisko
090301	51.0703595	6.5916471	Dr. Nobis
090302	44.6429335	-75.0633055	North Country Medical
090302	44.6347465	-75.0791297	Hospice of St. Lawrence County
090303	47.6279674	8.5745883	Dr. Mannig
090303	45.5508818	9.1863172	Studio medico dott. Lorenzo Pecora
090303	52.626863	-1.2010149	Forest House Medical Centre
090304	45.5481541	9.1830111	dott. Laura Posani
090304	53.4083179	-2.6322117	Westbrook Medical Centre
090304	53.40058	-2.6597379	Sankey Medical Centre
090306	-28.8169744	153.3228274	Goonellabah Medical Centre
090307	48.828576	9.2336921	Gemeinschaftspraxis Reinhardt&Kühner
090307	48.7475761	-0.0241676	kinésithérapie
090307	48.7449317	-0.0224922	
090307	-38.0791835	145.485154	Station Street Clinic
090307	57.3665642	-2.0701748	Ellon Medical Practise
090307	46.4228774	17.6948183	
090307	43.750824	28.5713756	Dispensar
090307	46.4580854	17.771252	
090307	51.5252925	0.0280401	
090308	51.5222058	0.0249158	
090310	16.7516225	-62.2195777	
090310	51.5577886	10.056484	Gemeinschaftspraxis für Allgemeinmedizin
090311	52.820333	-1.6482727	
090311	52.4356044	9.755409	
090311	52.4354143	9.7553051	
090311	53.7871046	-1.760989	Trinity Centre
090313	-32.9397324	151.6589641	
090313	-32.9405901	151.6602355	Cardiff General Practice
090313	51.6739084	11.7771614	Ärztehaus
090313	50.8484708	9.9581527	
090313	50.3919379	8.1903906	Gemeinschaftspraxis Dr. Steinsdörfer, Schneider
090314	52.4931752	-2.0335294	Whiteheath Medical Centre
090315	51.5347178	-0.1078253	
090315	55.7939343	-4.2876934	
090316	53.7123478	-1.8316201	
090318	51.5498192	-0.1082797	
090318	47.2163098	-1.6819995	
090318	56.2628868	10.302216	Skødstrup lægehus
090319	51.41842	21.97421	Przychodnia
