last_edit_date	latitude	longitude	name
070912	42.4547849	13.9349634	
071110	42.4595969	13.9260614	
071129	42.4565501	13.924289	Fonte Nuova
071217	-41.2807879	174.7700639	Peace Flame
071219	-41.289843	174.7944402	Oriental Bay Fountain
080108	43.6871115	-79.4009659	
080120	50.8484452	5.6713399	
080131	50.0759777	15.6796735	
080209	48.2139014	-1.5047491	
080215	52.2639397	10.524715	
080216	33.7046995	73.0538302	
080216	33.7300568	73.0936566	
080219	45.0630239	7.6875995	
080224	51.4314666	-0.1464942	
080225	46.0459141	14.506928	
080305	52.5219053	13.5446034	
080311	60.1236876	11.4661492	
080316	48.9184937	9.5693235	
080321	40.0845678	-8.2909805	
080326	52.2102276	20.9962186	
080330	53.8000528	-1.5922254	
080406	61.1286029	21.5221466	
080407	50.0434135	10.2317428	Vier Röhren Brunnen
080413	52.2211778	21.0081396	
080418	49.6207842	11.2327018	
080418	2.9356855	101.6910678	
080422	48.1142541	-1.6073959	
080423	44.1433664	12.2371434	
080424	47.1004742	6.8242548	
080425	49.4106456	8.9343979	
080426	48.2083393	8.2325784	
080426	47.5279143	7.5824915	
080430	52.4838149	13.4793364	
080502	43.6072009	12.9765193	
080504	41.0860472	14.3281279	Cascata dei Delfini
080504	41.0935711	14.3287107	Fontana di Cerere
080504	41.097161	14.3290112	Fontana di Venere e Adone
080505	51.1181491	6.9423036	
080505	-36.8505743	174.7679412	
080506	47.3693916	8.5591601	
080507	50.1312512	9.1174214	Mariengrotte
080508	47.3506255	5.050857	
080513	52.1794779	4.4750043	
080513	46.9697	9.5473702	
080514	52.1940535	4.4770988	
080514	51.5050558	-0.0801602	
080515	45.4430539	-73.4486331	
080516	45.6509061	25.6165583	
080516	41.8118689	2.0950613	
080516	40.3864974	-3.7603246	
080516	40.3858453	-3.760591	
080516	40.3856106	-3.7610318	
080520	40.3955123	-3.7435537	
080521	46.783837	-0.1572662	
080524	44.0451322	3.85421	
080525	45.2886542	21.8880521	
080525	40.2805635	-3.7314842	
080526	52.1907787	-2.2241121	
080527	60.4062335	25.1031031	
080528	49.9771397	9.0858612	
080531	45.6431612	25.6302443	
080602	48.380273	8.2978959	
080603	50.0037505	9.0679179	
