last_edit_date	latitude	longitude	name
070127	45.7498291	4.7846148	
070805	53.1421052	0.3388092	Skegness Town Market
080821	53.1381474	7.5799847	
080921	53.4563753	-2.2013164	Longsight Market
080927	-33.9237576	18.4226659	
080927	-33.924571	18.4239828	
081218	61.4870465	21.7965921	Kauppatori
090213	2.1423853	102.7761227	Pasar Malam (isnin)
090213	2.1730164	102.7120512	Pasar Malam (ahad)
090221	46.1062527	19.6896081	
090224	-20.6745704	-40.4989096	Hippi Feira
090225	61.5959022	22.583509	
090308	59.8247048	22.9629316	
090317	3.0381338	101.5237883	Uptown
090319	48.0940094	8.7010911	Marktplatz
090422	43.0245564	25.1013979	
090425	39.9271926	116.3584728	
090425	39.8643698	116.5090271	
090426	48.9949406	21.2389373	Baštová
090426	48.9936682	21.2404158	Trhovisko Weberova ulica
090426	39.9263574	116.3507333	Bird and Fish Market
090509	46.1716888	21.291109	Piața Obor
090512	50.6031651	12.6368274	
090515	50.6005044	12.6388824	
090515	50.6002235	12.639137	
090517	36.9431631	30.7258879	
090528	3.0109773	101.8033066	Pasar Malam
090528	3.0855333	101.5477682	Pasar Malam
090528	3.0498702	101.5344498	Pasar Malam
090528	3.0744302	101.5621264	Pasar Malam
090528	3.0464817	101.503088	Pasar Tani
090528	3.0453345	101.5162165	Pasar Malam
090528	3.0815002	101.5487618	Pasar Tani Mega
090528	3.0814982	101.5495332	Jualan But Kereta
090528	2.8847938	101.79169	Pasar Malam
090528	2.9699526	101.8265881	Pasar Malam
090611	27.7232897	102.9361093	
090615	50.5025662	30.5927836	
090615	44.8756548	20.4535847	
090618	7.0687636	125.6007297	Bangkerohan Public Market
090622	53.4869636	10.1807669	
090624	-0.9310592	-78.619404	
090628	43.6165301	1.241696	
090629	-38.7219508	-62.26676	Mercado Municipal
090629	56.7665784	24.1089153	Plakanciema tirgus
090630	53.5014944	-2.182932	Newton Heath Market
090701	10.9613086	-63.8681189	local market
090712	5.6044177	-53.8165413	Marché de Javouhey
090718	14.7617051	120.9492048	Ibayo Market
090720	20.9981032	105.8123874	
090721	54.9642667	82.9031174	
090721	54.4783684	26.4127184	
