last_edit_date	latitude	longitude	name
091102	43.6515096	-79.3831341	City Hall Parking
100527	43.6694011	-79.385532	
100613	43.6733257	-79.387807	
110403	47.4079282	8.5090791	
110414	48.2661057	14.2894547	
110503	38.7943383	-77.1822042	
110505	48.2789353	14.2475466	Ausfahrt Tiefgarage
110506	49.4685033	11.0986807	
110507	48.2616741	14.2893307	Einfahrt Tiefgarage
110507	48.2607677	14.2880569	Einfahrt Tiefgarage
110509	47.9938579	7.8307756	
110509	47.9935997	7.830528	
110510	48.2628394	14.2791803	Tiefgarage Europastraße
110510	48.2636008	14.2806028	
110510	48.2640507	14.2811612	
110510	48.2638258	14.2808836	
110510	48.2641698	14.2813972	
110512	48.2739626	14.2739303	Einfahrt Tiefgarage
110512	48.2739878	14.2726427	Einfahrt Tiefgarage
110514	48.2859634	14.2752821	
110514	48.2865661	14.2758734	Tiefgarage Robert-Stolz-Straße
110514	48.2871255	14.2758231	
110514	48.2880071	14.2736209	
110517	41.554425	2.4329073	
110518	51.1439472	6.8856665	
110518	49.2301821	6.9969385	
110518	49.2340421	6.9960298	
110518	49.2332522	6.9945769	
110518	41.8748608	12.5349163	
110524	53.4236657	-2.1840359	
110525	48.2948989	14.2910022	
110525	47.8985423	1.9092691	
110526	51.168178	14.9713568	
110526	51.1685209	14.9702918	
110526	51.1683128	14.971283	
110526	51.1684931	14.9711841	
110526	51.1678443	14.9706695	
110528	59.9243074	10.6886901	
110528	59.9262059	10.6925323	
110530	48.3072234	14.3059731	
110531	48.3057417	14.3049422	
110601	37.2692306	127.052912	
110601	52.1182111	4.5029006	
110601	48.3059683	14.2993738	
110602	48.311155	14.296803	
110602	61.4833468	23.7579049	
110602	61.4815691	23.7604327	
110602	61.4815809	23.7605036	
110602	61.4817842	23.7623761	
110602	61.4818095	23.7622824	
110602	61.4830375	23.7579302	
110602	61.4827637	23.7613584	
110602	48.3146044	14.2998245	
110602	48.3140997	14.2986847	
110602	48.3100538	14.2962967	Einfahrt Tiefgarage Honauerstraße 3-11
110602	48.3103961	14.2956548	Eingang Tiefgarage Honauerstraße 3-11
110603	61.4857739	23.7631585	
110604	48.3086398	14.2935304	
110604	48.2671224	14.2646095	
110605	48.3069136	14.3108865	Einfahrt Tiefgarage
110605	48.3070466	14.3111414	Ausfahrt Tiefgarage
110605	51.0406509	13.7805802	
110606	48.3050521	14.3073403	
110606	52.4561627	16.943048	
110606	48.3034097	14.3118885	
110607	48.3000913	14.3093114	
110608	48.2983485	14.3054404	Eingang Tiefgarage
110608	48.2978222	14.30573	Eingang Tiefgarage
110608	48.2980705	14.3068335	Eingang Tiefgarage
110608	48.2996523	14.305953	Eingang Tiefgarage
110608	48.2993688	14.3048688	Eingang Tiefgarage
110608	48.298601	14.3065331	Eingang Tiefgarage
110608	48.2988439	14.3051614	Eingang Tiefgarage
110610	43.0324717	-87.9085807	
110610	43.0331934	-87.9057384	
110610	41.5387081	2.4419145	
110613	48.3012348	14.3036463	
110613	48.3004871	14.3028809	
110613	48.3007925	14.3009459	
110613	48.3007659	14.300959	
110613	48.300079	14.3015931	
110614	50.6392274	3.066239	
110614	50.8314221	-0.1373751	
110614	50.8311307	-0.1379247	
110614	48.2979723	14.3015364	Ausfahrt Tiefgarage XXXLutz
110614	48.2852614	14.3014933	
110614	48.2895827	14.307085	
110614	50.6386673	3.0657316	
110614	50.6395703	3.0653068	
110615	48.2854238	14.3014936	Ausfahrt Tiefgarage AMS
110615	48.285413	14.3015362	Einfahrt Tiefgarage AMS
110619	48.23751	14.3260998	
110619	48.2380723	14.3281208	
110619	48.2374735	14.3254701	
110619	48.2373596	14.3253229	
110619	48.2400702	14.3313639	
110619	48.2401755	14.3314579	
110619	48.2400967	14.3313631	
110619	48.2389704	14.3338363	
110619	48.2396695	14.3335935	
110619	48.2387852	14.3339676	
110619	48.2436013	14.3293378	
110620	49.015825	12.0635146	
110620	49.0157224	12.0627767	
110623	51.1479296	11.818553	
110627	48.2437506	14.3391417	
110627	48.2436019	14.3403458	
110627	48.2434091	14.338525	
110627	48.2431623	14.3396374	
110628	48.2441475	14.3372637	
110703	48.2494725	14.329908	
110703	48.130172	11.5893745	
110704	48.2494134	14.3406765	
110705	49.8880746	-97.1231213	
110705	49.8837004	-97.1227461	
110707	48.2400329	14.3327311	
110708	52.1353471	11.6316128	
110711	50.440518	7.4056371	
110711	51.4488193	7.011366	
110711	51.4383	7.0137819	
110711	51.4484753	7.0110156	
110715	54.9846805	82.8921288	
110715	54.9903127	82.8578495	
110715	54.9904371	82.857754	
110716	55.0409463	82.8999279	
110717	48.2711581	14.2729269	
110717	48.3104363	14.3001287	
110717	48.3109559	14.3010973	
110717	48.3117806	14.3021926	
110717	48.3026056	14.3114633	
110718	63.1812895	14.6366641	
110719	50.6148061	26.2896957	
110720	48.0664721	11.3940162	
110721	48.2548615	14.3581811	Einfahrt Tiefgarage
110721	48.2555685	14.3574237	Einfahrt Tiefgarage
110721	48.2553008	14.3586775	Eingang Tiefgarage
110723	28.3562326	-16.3700514	Parking Público Pozo de la Virgen
110723	28.3648723	-16.3661329	
110725	41.9835671	2.8207069	
110725	41.9840182	2.8207616	
110725	48.2956456	4.0763815	
110726	48.1725055	16.4156633	
110726	48.1734055	16.4154166	
110728	49.2405961	7.002853	
110729	48.2491261	14.3193361	
110730	48.26652	14.2686572	
110730	48.2667315	14.2677621	
110730	48.2680142	14.2706347	
110730	49.5907027	11.0289285	
110730	49.5914832	11.0289872	
110730	47.4337839	9.7521864	
