last_edit_date	latitude	longitude	name
070221	40.4227323	-3.7068726	
070222	63.4122707	10.8033734	
070302	40.433807	-3.6046606	
070304	-25.6761094	28.2259256	Sinoville Police Department
070308	51.7702884	-0.7476245	
070507	55.7499947	-4.9362904	
070518	50.7509043	-1.9818781	Gravel Hill
070608	-1.3223442	36.7064119	Karen Police Station
070611	-1.2909894	36.8205158	Parliament Police Station
070614	51.5086873	0.2833668	South Ockendon Police Station
070615	-1.265224	36.8119614	Parklands Police Station
070617	47.5227475	-0.6101617	
070620	-1.2917949	36.795069	Kilimani Divisional Police Station
070620	-1.3345859	36.9263433	JKIA Police Station
070702	48.9885176	8.3787506	Polizeiposten Beiertheim-Bulach
070706	51.4258933	-2.5914501	Broadbury Road Police Station
070709	47.8712674	18.1967327	
070710	-5.9244946	39.3001147	
070710	-6.0427361	39.2283477	
070721	-6.9157412	107.6311105	Polres Bandung Tengah
070729	53.4080603	-2.1527899	
070812	52.126739	0.1683122	
070814	44.1526166	-79.8660552	
070825	54.9319143	-3.8254606	Dalbeattie Police Station
070907	51.6058735	0.2245094	
070911	51.4793536	0.3219152	Grays Police Station
070916	-31.982805	115.7832455	Claremont Police Station
070916	-32.0005778	115.7601044	Cottesloe Police Station
070920	48.2873489	17.2732308	
070924	-26.049615	31.0169607	
071002	51.5245212	0.4457362	Corringham Police Station
071012	41.024603	-76.3449208	
071024	52.7697985	1.5227949	
071030	59.2148251	10.9382249	
071104	34.0557093	-117.1861625	
071109	-1.288501	36.8356843	Muthurua Police Station
071110	39.4736505	-0.3638481	
071110	5.5707446	-0.1804596	Cantonments Police Station
071110	43.6268915	3.8755487	
071111	53.3748567	-3.0180732	
071114	51.3544351	-1.1414055	
071116	-33.2733227	115.7344421	
071118	5.606237	-0.1772318	Airport Police Station
071123	47.388264	8.5411723	Kreiswache 6
071124	51.4215911	-0.1599623	
071124	50.1371121	14.515663	
071125	51.6027576	5.3223035	
071129	38.7882506	30.4677135	Arama Kurtarma
071203	64.2210147	27.7245479	
071203	54.5901579	-5.902643	
071214	55.8060238	-4.2934391	
071214	60.6365884	25.319179	
071219	48.8979894	2.2385197	Police municipale
071219	50.7932552	0.0500511	
071220	-41.1345178	174.8389111	
071223	52.4778303	-1.8508151	
071223	41.0046761	-76.45349	
071227	41.3764175	2.1712408	Comissaria Mossos d'Esquadra
071228	48.9878648	22.1516314	
071229	45.280522	-75.7614738	Barrhaven Community Police Centre
071230	58.3401003	8.593361	
080101	-35.0664204	138.861016	
080103	48.891267	2.2422257	Police
080103	53.6730941	17.362298	
080106	53.7783616	-2.6974448	Fulwood Police Station
080106	50.8541666	14.8439716	
080106	17.1126781	-61.8491377	
080106	44.7687131	-63.6949146	
080108	-29.7839004	30.8279052	
080112	35.150691	33.3475635	
080123	-16.6877607	-179.8808154	Matei Police Post
080123	51.5810206	-0.0863608	St. Anns Police Station
080124	50.7258891	12.4898911	
080127	53.3447285	-6.3579922	Ballyfermot Garda Station
080131	51.8158226	-0.3540638	Harpenden Police Station
080202	-27.4168446	153.0746823	Hendra
080205	45.7417113	4.8743483	Police Municipale
080208	43.5974904	1.4313523	
080208	47.2293917	8.9608724	
080209	49.848235	6.1026334	
080210	-33.0801377	115.8931162	
080214	51.6591742	7.1016046	
080217	-26.1926137	27.9937086	Brixton Police Station
080220	38.3458754	-0.4879186	
080223	52.243574	0.4117758	Newmarket Police Station
080226	51.3846074	-0.292741	
080302	-27.4653795	153.0711012	Morningside
080303	51.430343	-0.1296296	Streatham Police Station
080311	40.2030728	-7.6366248	Guarda Nacional Republicana
080312	51.2824423	-0.0760846	
080315	51.2130881	4.2588068	
080315	43.6431143	-72.1440068	
080315	43.6485705	-72.0065452	
080317	35.8815731	-106.3053329	
080319	50.6318907	13.84376	
080320	56.1306047	10.1637404	Viby Lokal Politi
080320	48.5783387	19.5273343	
080320	54.5477027	-3.5850675	
080321	51.4466045	-0.4038563	Feltham Police Station
080321	51.7059783	0.2450128	
080323	45.7344288	4.8729353	Commissariat de Police du 8ème
080325	53.7383551	-0.3664226	
080326	54.3107664	-1.830076	
080326	43.5593044	11.5350633	Polizia di Stato
080326	51.1134899	-114.035897	
080328	47.1573663	2.9111382	Gendarmerie
080328	42.666821	23.356929	СДВР - КАТ
080328	42.70828	23.321242	2-ро Районно полицейско управление
080401	45.5015325	9.2009575	Commissariato Greco-Turro
080402	57.841802	35.0196927	пост ГАИ
080402	-32.9696262	-71.5425863	Tenencia de Reñaca
080403	42.705386	23.3231839	МВР - Дирекция на Националната Полиция
080403	51.7720652	-3.2439473	
080404	42.708725	23.3139558	СДВР - Дом за настаняване на малолетни и непълнолетни
080405	45.412408	11.8622046	
080408	52.7163977	-2.7261075	
080408	47.2878065	5.0639742	
080411	62.6718049	30.9263326	
080414	42.6786924	-71.8223282	Ashby Police Department
080414	42.129495	-71.5402419	Hopedale Police Dept
080414	42.613358	-71.2359407	Tewksbury Police Department
080414	41.5789062	-71.0895548	Westport Police Dept
080414	42.4518112	-72.4095237	Shutesbury Police Dept
080414	42.0753675	-72.0271475	Southbridge Police Dept
080414	42.6321005	-70.7820093	Essex Police Department
080414	42.1402762	-71.4255921	Medway Police Dept
080414	42.7000687	-72.6310389	Leyden Polcie Dept- Shelburne Falls
080414	41.6809666	-70.0815785	Harwich Police Dept
080414	42.1456403	-71.252701	Walpole Police Dept
080414	42.2564288	-71.1242782	Boston Police Dept
080414	42.4590686	-72.8915619	Cummington Police Dept Adm
080414	41.9936754	-70.7363139	Kingston Police Dept
080414	41.6645079	-70.9954431	Bristol County Sheriff
080414	42.0928216	-70.6937662	Marshfield Police Dept
080414	42.1908708	-73.4281178	Egremont Police Dept
080414	42.0645994	-72.4139341	Hampden Police Dept
080414	42.5548545	-70.9434941	Danvers Police Department
080414	41.8287523	-71.3199697	Seekonk Police
080414	42.4043175	-71.0832183	State Police  Medford
080414	42.5941572	-72.2280291	Athol Police Station
080414	41.9009817	-71.0892959	Tauton Police Dept Headquarters
080414	42.3945042	-71.7932691	West Boylston Police Dept
080414	42.4656801	-70.9487324	Lynn Police Department
080414	41.6397278	-70.9836192	Sp North Dartmouth
080414	41.6768115	-70.5720912	Barnstable County Sheriff
080414	42.6285559	-72.5184291	Gill Police Dept- Shelburne Falls
080414	42.3043389	-72.7758057	Westhampton Police Dept
080414	42.0627523	-71.2503382	Foxboro Police Dept
080414	42.0815908	-73.0026656	Tolland Police Dept
080414	42.4067296	-72.9382116	Worthington Police Dept
080414	42.3581911	-71.5511994	Marlborough  Police Station
080414	42.4076982	-71.0127143	Revere Police Dept
080414	42.1396068	-71.9746513	Charlton Police Dept
080414	42.1139151	-70.8238824	Hanover Police Dept
080414	42.3524445	-72.5830456	Hadley Police Dept
080414	41.9204367	-71.0962791	Tauton Police Dept
080414	42.1011103	-73.0969899	Sandisfield Police Dept
080414	42.1562982	-71.1491272	Canton Police Dept
080414	42.3161494	-73.2570903	Sp Lee
080414	42.6764571	-71.7000688	Townsend Police Deptartment
080414	42.6780673	-70.8362514	Ipswich Police Department
080414	42.2710954	-72.4148193	Belchertown Police Dept
080414	41.9220926	-71.0512336	Raynham Police Dept
080414	42.414395	-70.9893996	Sp Revere
080414	42.3493611	-71.1505902	Brighton Police Dept
080414	42.4804079	-71.4446364	Acton Police Department
080414	41.3807416	-70.6750759	West Tisbury Police Dept
080414	42.3730956	-73.115912	Washington Police Dept
080414	42.5637348	-73.0250081	Savoy Police Department
080414	42.1673412	-71.3588413	Millis Police Dept
080414	42.6124035	-70.872122	Hamilton Police Department
080414	42.1122886	-72.0829891	Sp Sturbridge
080414	42.1925835	-73.0933373	Otis Police Dept
080414	42.4500047	-71.8794282	Princeton Police Dept
080414	42.2846826	-71.0916905	Boston Police Dept
080414	42.5750005	-73.3005472	Hancock Police
080414	42.5193214	-73.2275526	Lanesborough Police Dept
080414	42.2102105	-71.693072	Grafton Police Dept
080414	42.2597568	-71.2087651	Norfolk County Sheriff
080414	42.2557702	-70.9960313	Quincy Police Dept
080414	42.1796906	-73.2137623	Monterey Police Dept
080414	42.3694082	-71.0795014	Middlesex County Sheriff
080414	41.4211377	-70.9297003	Gosnold Police Department
080414	41.9428729	-70.0245946	Wellfleet Police Dept
080414	42.5748723	-70.7724899	Manchester Police Headquarters
080414	42.5303856	-71.3491158	Carlisle Police Department
080414	42.0441252	-71.8919194	Dudley Police Dept
080414	41.4801965	-70.600056	Tisbury Police Dept
080414	42.3580321	-72.0493951	Oakham Police Dept
080414	42.2605662	-71.4655544	Ashland Police Department
080414	41.8270164	-71.1208222	Dighton Police Dept
080414	41.89372	-70.9425762	Sp Middleboro
080414	41.6827223	-70.909654	Acushnet Police Dept
080414	42.5012589	-72.3312858	New Salem Town Police Dept
080414	42.6456377	-70.62922	Rockport Police Headquarters
080414	42.3241635	-71.7682123	Worcester County Sheriff
