last_edit_date	latitude	longitude	name
070804	-33.9428686	151.2638428	Mahon Pool
071027	59.8490664	16.6469614	Tärnabadet
080917	52.151714	-3.4072914	Builth Wells Swimming Pool
081205	53.5905154	-2.2762752	
090530	34.1391553	-117.5722631	
090530	34.133393	-117.5865407	
090616	34.1341968	-117.5893452	
090618	34.1370579	-117.5901491	
090622	34.1368827	-117.5925618	Pool
090625	34.071268	-117.6131206	
090625	34.032619	-117.6233912	
090709	34.1242745	-117.6282882	
090709	34.1337478	-117.5838274	
090709	34.1338095	-117.5947308	
090709	34.1343236	-117.5992503	
090709	34.133727	-117.6110102	
090709	34.1336379	-117.6092195	
090710	34.1113792	-117.5383988	
090710	34.1088254	-117.5224353	
090714	34.1094177	-117.5391053	
090714	34.1122566	-117.5597679	
090714	34.1102556	-117.5608791	
090714	34.1109862	-117.5676405	
090715	34.0801369	-117.6118771	
090715	34.0829732	-117.6124819	
090715	34.0982498	-117.6189358	
090715	34.0933399	-117.6275691	
090715	34.0933098	-117.6259814	
090717	34.1054854	-117.609945	
090717	34.1039214	-117.6102306	
090717	34.1053314	-117.603578	
090717	34.1058086	-117.6078056	
090717	34.100297	-117.5867911	
090717	34.1115419	-117.5908011	
090717	34.0983414	-117.5834972	
090717	34.100091	-117.6096124	
090717	34.1018113	-117.6121462	
090717	34.1041525	-117.6124071	
090717	34.0985201	-117.615826	
090717	34.1020036	-117.6098455	
090717	34.102514	-117.5784793	
090717	34.0996897	-117.580006	
090717	34.1004964	-117.5783512	
090717	34.1008975	-117.5796624	
090717	34.1027982	-117.6151407	
090717	34.1048949	-117.6163452	
090718	34.1233666	-117.595601	
090718	34.1243827	-117.5956022	
090718	34.0808184	-117.6096114	
090718	34.0792361	-117.6223904	
090718	34.0793086	-117.623428	
090719	-19.8674903	47.031079	Piscine
090719	34.0646147	-117.609541	
090719	34.0648671	-117.6101036	
090720	34.1119781	-117.5656111	
090720	34.1102291	-117.5643405	
090720	34.109486	-117.5596165	
090721	34.1138687	-117.5383947	
090721	34.1236744	-117.5310765	
090721	34.1196387	-117.5747513	
090721	34.1196915	-117.559939	
090729	34.1049012	-117.5015288	
090729	34.1031458	-117.5102228	
090729	34.1041861	-117.5125772	
090729	34.1086579	-117.5272079	
090729	34.1234892	-117.5796407	
090731	34.1110158	-117.5551765	
090731	34.112547	-117.5519959	
090731	34.1203542	-117.5522718	
090731	34.1307829	-117.5926153	
090801	59.5219048	17.8451723	
090801	34.1336562	-117.5961016	
090801	34.1231126	-117.582552	
090801	34.1334377	-117.6130074	
090801	34.1288859	-117.6096611	
090804	34.1334235	-117.5903464	
090804	34.1343257	-117.5854665	
090804	34.1226943	-117.5901672	
090804	34.1132327	-117.5901616	
090804	34.1080792	-117.5877408	
090804	34.108935	-117.5902862	
090804	34.1128131	-117.5923586	
090804	34.1079533	-117.5981722	
090805	34.1230349	-117.6116418	
090805	34.1231017	-117.6113605	
090806	34.1127	-117.569602	
090806	34.1137031	-117.5709777	
090806	34.1139002	-117.5701064	
090807	51.3983682	-0.4131537	Xcel Leisure Centre
090807	34.1146741	-117.5570998	
090807	34.116666	-117.5670195	
090807	34.1161174	-117.5655521	
090807	34.1184587	-117.5668104	
090807	34.1167732	-117.5687541	
090811	34.0785277	-117.5601959	
090811	34.0793049	-117.5594589	
090811	34.0779086	-117.5631841	
090811	34.0806792	-117.5606494	
090813	34.0765474	-117.5807878	
090813	34.0756205	-117.5816309	
090814	34.0714948	-117.6144988	
090814	34.06822	-117.6224024	
090814	34.0727991	-117.6163967	
090814	34.0721555	-117.616059	
090814	34.0715582	-117.6159265	
090814	34.0732043	-117.6174705	
090814	34.0716789	-117.617514	
090814	34.0714254	-117.6183308	
090818	34.0262666	-117.5819704	
090819	34.0224825	-117.5677221	
090819	34.0231879	-117.5729214	
090820	34.0231437	-117.5774484	
090821	34.0246042	-117.6135673	
090824	33.9890401	-117.5521019	
090824	33.9817319	-117.5551683	
090827	34.1008074	-117.5810562	
090827	34.1000112	-117.5808965	
090827	34.1000249	-117.5834275	
090827	34.1018965	-117.5839222	
090828	34.1020665	-117.5859043	
090828	34.1021645	-117.5875784	
090828	34.0975869	-117.5811456	
090828	34.1000077	-117.5895285	
090829	34.100196	-117.6125116	
090831	34.1020478	-117.6133005	
090831	34.1025069	-117.6126277	
090831	34.1005565	-117.6105164	
090831	34.104708	-117.6074628	
090831	34.1053232	-117.6057356	
090831	34.1040629	-117.6189627	
090831	34.102407	-117.6187578	
090831	34.1019039	-117.6215482	
090831	34.1037608	-117.6209329	
090902	34.0875423	-117.603405	
090903	34.1179734	-117.5072288	
090909	34.1235922	-117.6320471	
090909	34.1240024	-117.6351429	
090909	34.1225168	-117.6379571	
090909	34.1238309	-117.6391854	
090909	34.1247349	-117.641038	
090909	34.1219699	-117.6264665	
090909	34.1229236	-117.624261	
090909	34.1212643	-117.6244925	
090909	34.1205236	-117.6302221	
090910	34.0174129	-117.595687	
090911	34.0198915	-117.643137	
090911	34.0203138	-117.6447949	
090911	34.0286836	-117.6540371	
090911	34.0274409	-117.6542601	
090911	34.008625	-117.6528733	
090917	33.9533967	-117.6887366	
090918	34.0114571	-117.7412813	
090918	33.988024	-117.7186711	
090922	34.0670878	-118.0067548	
090922	34.0656665	-118.0074186	
091004	34.0201632	-117.5733614	
091124	34.1486067	-117.3945313	
091211	34.1264872	-117.6395188	
091211	34.100853	-117.632306	
091211	34.1120687	-117.6427123	
091211	34.1023378	-117.6301644	
091212	34.111174	-117.6409285	
091212	34.1111886	-117.6428227	
091212	34.0907627	-117.6359138	
091215	33.7485838	-116.3581334	
091218	34.1599603	-118.4450336	
100104	33.7784108	-116.385777	
100104	33.7792178	-116.3861847	
100104	33.7782235	-116.3855731	
100104	33.7547584	-116.3649691	
100104	33.7546023	-116.3633651	
100104	33.7544997	-116.3631452	
100104	33.7542187	-116.3629628	
100104	33.7537058	-116.3616002	
100104	34.0500503	-118.2249264	
100104	34.0499618	-118.2253071	
100108	34.0705004	-118.2883889	
100108	34.0711486	-118.2885454	
100131	-27.3753917	152.8810956	Samford Pool
100226	34.1240756	-117.7925902	
100227	44.6515248	6.6350639	
100227	44.6520475	6.6399626	
100302	39.5808259	2.6278777	
100329	33.625362	-117.9351239	
100329	33.6256967	-117.9344535	
100329	33.6267986	-117.9368837	
100329	33.6266549	-117.9343372	
100329	33.6270402	-117.9350165	
100329	33.6356675	-117.9367857	
100329	33.6235731	-117.9330627	
100329	33.6244098	-117.9329632	
100329	33.6242261	-117.9327414	
100329	33.6238547	-117.9338767	
100330	33.6276303	-117.9354809	
100330	33.6276242	-117.9310651	
100330	33.6273145	-117.9305491	
100330	33.6284162	-117.932439	
100330	33.6282243	-117.9304896	
100330	33.6288914	-117.929824	
100330	33.6291767	-117.9359519	
100330	33.6303848	-117.932852	
100330	33.6429113	-117.9221638	
100330	33.6291405	-117.9326576	
100330	33.6283186	-117.9334303	
100330	33.6298726	-117.9312367	
100330	33.6299097	-117.9321158	
100330	33.6313049	-117.9315806	
100330	33.6415535	-117.9372585	
100330	33.6411798	-117.9240929	
100404	33.615572	-117.9267624	
100404	33.615677	-117.9263037	
100404	33.6118639	-117.9245975	
100412	33.6406309	-117.9436916	
100413	33.6240094	-117.9452968	
100414	33.6463225	-117.9833945	
100414	33.6472539	-117.9823197	
100414	33.6452848	-117.9806486	
100414	33.6533161	-117.9914335	
100414	33.6553764	-117.9914645	
100414	38.555042	-121.774245	Arroyo Pool
100415	33.656419	-117.9939265	
100416	33.6743805	-118.0207384	
100417	57.7860092	14.227947	Rosenlundsbadet
100417	33.6805334	-118.0294561	
100419	33.9424933	-118.1720057	
100424	38.5579865	-121.7478751	
100424	38.5582145	-121.7476822	
100427	33.7136	-118.064441	
100427	33.6582385	-118.0055243	
100504	51.4605834	7.4908022	
100523	39.5596556	-75.6482021	
100523	39.5586091	-75.6465438	
100523	39.558415	-75.6469076	
100523	39.5590859	-75.6472295	
100523	39.5591297	-75.6460928	
100523	39.5616705	-75.6474584	
100529	33.6755929	-117.758976	
100531	33.6529577	-117.7141317	
100601	33.6823546	-117.6714099	
100603	33.6621275	-117.6327025	
100603	33.6651004	-117.6276097	
100604	33.4883137	-117.7134406	
100605	33.5304667	-117.7186381	
100605	33.5271921	-117.7194853	
100605	33.5329052	-117.705865	
100606	42.1701698	-70.9513663	
100609	41.2339575	-111.9706356	
100613	42.1663039	-70.9517244	
100617	34.0758531	-117.5832096	
100617	34.074165	-117.5836533	
100623	43.7678338	-1.2757803	
100623	43.7682166	-1.2791686	
100623	43.7190207	-1.3532913	
100623	43.7374682	-1.3125491	
100623	43.7722406	-1.4019597	
100623	43.7660524	-1.3220528	
100623	43.7599946	-1.2960381	
100623	43.7570061	-1.3355039	
100623	43.7657099	-1.3207379	
100623	43.743539	-1.3499034	
100623	43.7559163	-1.3338227	
100623	43.7589888	-1.3370979	
100623	43.7721339	-1.4038579	
100623	43.7407981	-1.3143717	
100623	43.7502418	-1.3171966	
100623	43.7522396	-1.3430912	
100623	43.7503147	-1.2992439	
100623	43.7858498	-1.2741174	
100623	43.7572486	-1.3203156	
100623	43.7408705	-1.3124788	
100623	43.7538012	-1.3425832	
100623	43.7415435	-1.2969565	
100623	43.770905	-1.4020953	
100623	43.7770346	-1.3981091	
100623	43.7397337	-1.3117415	
100623	43.7728429	-1.28924	
100623	43.7716803	-1.4025491	
100623	43.7519947	-1.3391621	
100623	43.7579022	-1.3264385	
100623	43.7568187	-1.3236175	
100623	43.7447935	-1.3243554	
100623	43.7720017	-1.4008759	
100623	43.7673062	-1.2769339	
100623	43.746619	-1.3275729	
100623	43.7730925	-1.4029939	
100623	43.7486184	-1.3351799	
100623	43.7666382	-1.3277985	
100623	43.7734521	-1.3984281	
100623	43.7496744	-1.338095	
100623	43.7621555	-1.3294258	
100623	43.7287515	-1.3552103	
100623	43.7671874	-1.2955267	
100623	43.7507516	-1.3093291	
100623	43.7630963	-1.3111666	
100623	43.7503981	-1.341804	
100623	43.7552047	-1.3303601	
100623	43.7426856	-1.3043243	
100623	43.741107	-1.3089987	
100623	43.7379461	-1.3101695	
100623	43.7461754	-1.3076013	
100623	43.7713945	-1.2776117	
100623	43.7403343	-1.3103457	
100623	43.7725884	-1.2702038	
100623	43.7693013	-1.3984089	
100623	43.7484391	-1.3182027	
100623	43.7626279	-1.3302755	
100623	43.7678874	-1.2809996	
100623	43.7410611	-1.3132947	
100623	43.755932	-1.3243075	
100623	43.7633658	-1.3260423	
100623	43.767603	-1.32547	
100623	43.7593869	-1.3104502	
100623	43.7372975	-1.2908962	
100623	43.7490044	-1.3327829	
100623	43.7703378	-1.398901	
100623	43.7404274	-1.3096413	
100623	43.7670543	-1.3275893	
100623	43.7629989	-1.3261614	
100623	43.772288	-1.292872	
100623	43.7615641	-1.3344562	
100623	43.7713212	-1.401079	
100623	43.7669141	-1.3285455	
100623	43.7469951	-1.3505126	
100623	43.7492756	-1.3324957	
100623	43.7571815	-1.3225098	
100623	43.7341814	-1.2615212	
100623	43.7395549	-1.3126322	
100623	43.7586221	-1.3210041	
100623	43.75752	-1.3208814	
100623	43.7516619	-1.3412366	
100623	43.7682509	-1.2784179	
100623	43.7496455	-1.3529889	
100623	43.7618779	-1.3116873	
100623	43.7403347	-1.3447011	
100623	43.7354484	-1.2638344	
100623	43.7711347	-1.2971556	
100623	43.7680374	-1.2969873	
100623	43.7708421	-1.3391919	
100623	43.7595504	-1.3366054	
100623	43.7475286	-1.3304213	
100623	43.7598332	-1.3205026	
100623	43.7606197	-1.2888524	
100623	43.7633031	-1.282943	
100623	43.7541866	-1.3107537	
100623	43.7643943	-1.2796997	
100623	43.7667587	-1.3085658	
100623	43.7748211	-1.3963193	
100623	43.7583774	-1.3295173	
100623	43.7327384	-1.3130254	
100623	43.7380548	-1.3111732	
100623	43.7717827	-1.4018086	
100623	43.7728819	-1.4003538	
100623	43.7287515	-1.3552103	
100623	43.7188679	-1.3358303	
100623	43.7536566	-1.3414518	
100623	43.7227059	-1.3044462	
100623	43.7627434	-1.3313035	
100623	43.752287	-1.3369948	
100623	43.7673238	-1.2776856	
100623	43.7291	-1.2852748	
100623	43.76954	-1.3973258	
100623	43.7631914	-1.3264979	
100623	43.7580299	-1.328652	
100623	43.7519552	-1.3395168	
100623	43.7547818	-1.3085444	
100623	43.7525661	-1.329308	
100623	43.7289031	-1.3552708	
100623	43.7554222	-1.3231224	
100623	43.7385489	-1.2952201	
100623	43.7661905	-1.2756119	
100623	43.7404237	-1.3122555	
100623	43.7482652	-1.3457421	
100623	43.7327323	-1.3123581	
100623	43.7738252	-1.303148	
100623	43.7502191	-1.3397391	
100623	43.7621005	-1.3319474	
100623	43.7745792	-1.4027758	
100623	43.7723111	-1.4018705	
100623	43.7489433	-1.3274137	
100623	43.7707652	-1.2860835	
100623	43.7486325	-1.3203764	
100623	43.7695394	-1.2873964	
100623	43.7620081	-1.2839296	
100623	43.7460472	-1.3167582	
100623	43.7680696	-1.2858458	
100623	43.7504604	-1.3403457	
100623	43.7674815	-1.3208023	
100623	43.7686213	-1.3925812	
100623	43.7555384	-1.3210801	
100623	43.7482648	-1.3339697	
100623	43.7724422	-1.4024464	
100623	43.7536351	-1.3379991	
100623	43.762458	-1.3268713	
100623	43.7591901	-1.327567	
100623	43.765899	-1.3213238	
100623	43.7666064	-1.3071358	
100623	43.7397942	-1.3120374	
100623	43.7243079	-1.3474481	
100623	43.741713	-1.3102463	
100623	43.749558	-1.3334212	
100623	43.7513723	-1.3083427	
100623	43.7507998	-1.3269773	
100623	43.7696546	-1.4058793	
100623	43.7424062	-1.3453263	
100623	43.7291	-1.2852748	
100623	43.7553964	-1.3234976	
100623	43.7673133	-1.3228933	
100623	43.7677395	-1.3271968	
100623	43.7192903	-1.3530224	
100623	43.7496897	-1.3533315	
100623	43.756271	-1.2929445	
100623	43.7663388	-1.3218746	
100623	43.7446878	-1.347466	
100623	43.757416	-1.3231223	
100623	43.7395321	-1.3123263	
100623	43.7461055	-1.3446918	
100623	43.7380581	-1.2656534	
100623	43.7750527	-1.3963595	
100623	43.7557621	-1.2934866	
100623	43.7727756	-1.3004059	
100623	43.7698616	-1.3976921	
100623	43.7458264	-1.3049719	
100623	43.7586221	-1.3210041	
100623	43.7569517	-1.3352997	
100623	43.7511623	-1.3096617	
100623	43.743539	-1.3499034	
100623	43.7372122	-1.2919079	
100623	43.7244407	-1.363455	
100623	43.775047	-1.4069904	
100623	43.7612006	-1.2897316	
100623	43.7336364	-1.2817889	
100623	43.7638007	-1.327243	
100623	43.7519552	-1.3395168	
100623	43.745674	-1.3457422	
100623	43.7408937	-1.336485	
100623	43.7650952	-1.2957157	
100623	43.7676906	-1.4060539	
100623	43.7442335	-1.3423376	
100623	43.7535289	-1.3417455	
100623	43.7638007	-1.327243	
100623	43.7725522	-1.403801	
100623	43.7509609	-1.3254898	
100623	43.7619012	-1.3293319	
100623	43.7510073	-1.3436557	
100623	43.7722542	-1.274389	
100623	43.7333512	-1.3098108	
100623	43.7655712	-1.2817362	
100623	43.752058	-1.330266	
100623	43.7759743	-1.3986064	
100623	43.7339042	-1.3108971	
100623	43.7273484	-1.3622232	
100623	43.7430807	-1.3121885	
100623	43.7708421	-1.3391919	
100623	43.7745556	-1.4027467	
100623	43.7580471	-1.3227389	
100623	43.7578529	-1.3292413	
100623	43.7403343	-1.3103457	
100623	43.7694629	-1.2867666	
100623	43.7574237	-1.3321856	
100623	43.7589405	-1.3233354	
100623	43.7729771	-1.3004763	
100623	43.745921	-1.3171886	
100623	43.7612032	-1.3289198	
100623	43.7608382	-1.3191291	
100623	43.76686	-1.3086017	
100623	43.7724781	-1.2770416	
100623	43.7600888	-1.3341255	
100623	43.7583147	-1.3286571	
100623	43.7512253	-1.3074726	
100623	43.7508607	-1.3251549	
100623	43.7349217	-1.3128229	
100623	43.7497589	-1.3525642	
100623	43.7507659	-1.3424809	
100623	43.7624656	-1.3287186	
100623	43.7565816	-1.3242154	
100623	43.766129	-1.3091992	
100623	43.7164572	-1.3521247	
100623	43.7429881	-1.336494	
100623	43.7501031	-1.2980208	
100623	43.7484555	-1.300266	
100623	43.7491912	-1.3265787	
100623	43.7729914	-1.4032178	
100623	43.7446259	-1.3096907	
100623	43.7458517	-1.3246349	
100623	43.7481599	-1.3208142	
100623	43.7245901	-1.2758874	
100623	43.7624048	-1.3303633	
100623	43.7335661	-1.2605713	
100623	43.732993	-1.2611856	
100623	43.7560048	-1.3315794	
100623	43.7707317	-1.3981773	
100623	43.7465871	-1.3192377	
100623	43.7625527	-1.2904959	
100623	43.759934	-1.2945252	
100623	43.7368421	-1.2936155	
100623	43.7444731	-1.2955238	
100623	43.7649554	-1.2783795	
100623	43.7692524	-1.4033523	
100623	43.7501113	-1.3032159	
100623	43.7322772	-1.3105379	
100623	43.7543702	-1.3263452	
100623	43.7458296	-1.3463009	
100623	43.7462334	-1.3184853	
100623	43.7698054	-1.4055239	
100623	43.7406856	-1.3110822	
100623	43.7526519	-1.3355637	
100623	43.7753881	-1.400192	
100623	43.768211	-1.3930434	
100623	43.7519825	-1.3502881	
100623	43.7189212	-1.3350687	
100623	43.747286	-1.334632	
100623	43.7665161	-1.3187022	
100623	43.7243963	-1.3429107	
100623	43.7512139	-1.3271699	
100623	43.7508094	-1.3086181	
100623	43.7377056	-1.308821	
100623	43.7504195	-1.3401841	
100623	43.7729342	-1.2930291	
100623	43.7620906	-1.3301611	
100623	43.7407498	-1.3131292	
100623	43.7716737	-1.2921736	
100623	43.7352235	-1.2807886	
100623	43.7676739	-1.3258588	
100623	43.7683395	-1.3102549	
100623	43.7710237	-1.4044408	
100623	43.7433079	-1.3168762	
100623	43.7603745	-1.3086085	
100623	49.5272191	0.7837666	
100623	49.5466166	0.7579786	
100623	49.5269461	0.7821703	
100623	49.5231224	0.7505406	
100623	49.5308842	0.7750831	
100623	49.5197991	0.7886741	
100623	49.53551	0.7725925	
100623	49.5378419	0.7564807	
100623	49.5445484	0.7720054	
100624	33.6229393	-117.6463856	
100624	33.6163559	-117.676053	
100624	46.6314221	0.1850569	
100624	46.6345192	0.1919977	
100624	46.6433535	0.1727071	
100624	46.6389126	0.1749381	
100624	46.6450031	0.1725392	
100624	46.6303242	0.1714247	
100624	46.6371862	0.1604842	
100624	46.6329619	0.18886	
100624	46.6316104	0.1895638	
100624	46.6367313	0.1836829	
100624	46.6442241	0.1705716	
100624	46.6369741	0.1820855	
100624	46.63054	0.1812788	
100624	46.6202821	0.1400565	
100624	46.6314933	0.1860622	
100624	46.6043697	0.1359683	
100624	46.6362646	0.1604639	
100624	46.6332591	0.1819239	
100624	46.6461612	0.1725993	
100624	46.591212	0.128285	
100624	46.6307908	0.179873	
100624	46.6415999	0.1777154	
