last_edit_date	latitude	longitude	name
060531	52.5949376	-1.8482409	
060613	53.2432432	-1.4993113	
060707	52.1249751	-0.4653456	
060711	52.1406274	-0.4750046	
060713	52.1179878	-0.4808711	
060816	53.1666244	-2.2442875	
060822	52.1206384	-0.4917032	
060823	52.1202097	-0.4927239	
060823	52.1109573	-0.5051832	
060823	52.1270481	-0.4952385	
060825	51.0833344	-1.0836074	
060827	51.454535	-0.9433535	
060827	51.4551131	-0.9552853	
060828	51.4546999	-0.9435614	
060829	51.4552603	-0.9348122	
060829	51.4423287	-0.9312306	
060830	51.448211	-0.9041373	
060830	51.4483785	-0.9393649	
060830	51.451909	-0.9312299	
060901	52.1258095	-0.4585217	
060901	52.12452	-0.4440004	
060902	52.177158	-0.4253336	
060905	52.1090948	-0.4657255	
060907	52.1195874	-0.4422642	
060907	52.1190126	-0.4585881	
060908	52.1215244	-0.4733075	
060908	52.126074	-0.4714328	
060910	50.8313087	-0.1747451	
060910	50.8296449	-0.1847825	
060913	52.140808	-0.4429392	
060913	52.1512858	-0.4121035	
060916	52.5591488	-1.8756378	
060916	51.4506354	-0.9769421	
060918	51.5573081	-0.8208246	
060918	51.5689377	-0.7850222	
060918	51.4506847	-0.9835553	
060919	51.4534889	-0.978811	
060919	51.4549709	-0.9825762	
060919	51.4529834	-0.9758605	
060921	49.5550798	8.6699599	
060925	51.4492586	-0.4145948	
060928	49.5451453	8.6697098	
061001	44.6184196	-63.5672299	Emergency telephone
061002	51.7521305	-0.3382414	
061002	51.7528567	-0.3384615	
061004	51.7508761	-0.3321301	
061009	51.7533222	-0.3370157	
061009	51.7534232	-0.3371842	
061009	51.7538856	-0.3335749	
061017	52.673364	-0.7240695	
061017	52.6897524	-0.6295972	
061018	-33.8952709	151.1953411	
061020	52.589677	-0.604832	
061023	52.6818309	-1.1311572	
061028	52.6917855	-1.113746	
061031	52.6763155	-1.132866	
061108	51.2810021	-0.8867598	
061108	51.3005836	-0.9021254	
061111	51.2205429	-0.2818958	
061111	51.2438681	-0.2520624	
061113	-33.712967	150.3310938	
061114	-33.8892981	151.2760842	
061114	-33.8907594	151.2744697	
061117	52.5986144	-1.0828121	
061118	51.2525178	-0.1698803	
061128	-27.568858	151.9414756	
061130	-27.569349	151.9604644	
061130	-27.5804671	151.9649705	
061201	-28.3878903	153.3250482	
061209	-27.5593373	151.9642884	
061223	53.3923026	-2.9495192	
061223	53.3894024	-2.949627	BT
061230	50.7805029	-3.0404701	
061231	50.762903	-3.065467	
070117	51.6520361	-1.0378982	
070119	57.9015058	-5.563265	
070122	51.8110509	-2.3450557	
070122	51.7972318	-2.3444185	
070122	51.770829	-2.3261482	
070128	51.5303683	-0.714728	
070128	48.9544268	8.5107494	
070129	52.7656527	-1.194223	
070202	51.8718372	-2.2352497	
070208	51.9950386	-2.3900487	
070208	51.9869008	-2.3941049	
070209	51.9013482	-2.3631414	
070209	51.8950322	-2.3463604	
070209	51.8952537	-2.3323316	
070209	51.8793155	-2.3016429	
070221	51.219783	-0.2004556	
070225	50.9837097	-1.1287882	
070226	51.5703031	-0.1145622	
070226	51.5689927	-0.1184085	
070227	51.4959674	-2.5070134	
070301	51.64539	0.4339622	
070306	53.3917024	-2.8663955	
070307	51.7670285	-0.7445171	
070308	51.5256523	-0.0998416	
070310	50.7555816	-3.0513656	
070310	50.7470102	-3.0328144	
070310	51.3784014	-0.1578097	
070310	51.3724328	-0.1681033	
070312	51.228209	-0.2799767	
070314	51.8994678	-1.1647927	
070314	51.4003633	-0.1693495	
070314	53.3902413	-2.8518441	
070315	51.3910731	-0.1759083	
070315	51.4044894	-0.1625517	
070315	51.4046649	-0.1648311	
070315	53.3829254	-2.8540587	
070315	51.9041278	-1.1460971	
070316	51.2211483	-0.1916609	
070316	55.7409752	12.5236755	
070317	53.3834981	-2.8618645	
070320	49.6403015	8.4681743	
070320	51.90635	-1.1623009	
070321	51.0699244	-0.3231577	
070324	51.9261838	-1.1871579	
070325	51.9177767	-1.1458249	
070325	51.5067312	-2.0802709	
070325	51.5722461	-2.1489863	
070326	51.5204753	-0.0992569	
070326	51.5159969	-0.1880541	
070327	53.3802979	-1.5664444	
070327	53.4059027	-1.5807762	
070327	53.4037041	-1.497064	
070327	53.3793956	-1.5181202	
070327	53.3605237	-1.697891	
070327	53.3472274	-1.6890588	
070401	51.7338197	-2.2329498	
070401	51.7862063	-2.1947501	
070402	51.907199	-1.149946	
070404	51.5137276	-1.9717715	
070404	51.2832524	1.0505915	
070404	55.951272	-4.7708316	
070407	49.6015338	8.518081	
070408	51.9052695	-1.1322049	
070409	51.6198226	7.5402807	
070409	50.8946583	-1.3523062	
070409	50.8946623	-1.3523106	
070409	53.7241949	-2.5755904	
070410	53.7333647	-2.6201995	
070413	51.9063514	-1.1399618	
070415	53.7097766	-1.9060334	
070416	51.3009125	1.1832824	
070416	51.303205	1.2274903	
070416	51.2785454	1.3332146	
070416	49.6852133	8.4102793	
070417	49.6755438	8.5458977	
070417	51.2861754	1.0726083	
070417	51.2763486	1.0785323	
070418	51.2815317	1.0824629	
070418	51.2779903	1.057093	
070418	52.5213275	-1.8215089	
070419	53.9224377	-1.5802645	
070419	53.3840035	-2.8690912	
070419	53.9168725	-1.4954941	
070419	53.9308102	-1.4514256	
070420	51.2799848	1.0789489	
070420	51.2799875	1.0789426	
070420	55.7389301	12.5397023	
070420	55.7376633	12.5390442	
070421	53.7341591	-2.6543374	
070421	51.2808062	1.0785324	
070421	51.2781564	1.0811801	
070422	51.8247488	-0.8115529	
070423	50.9644115	0.1305567	
070423	50.3014666	8.2367265	
070423	53.911186	-1.6977255	
070424	52.3935375	-1.7411155	
070424	51.3572306	0.1278944	
070424	49.6571033	8.4005188	
070424	52.5247502	-1.8095912	
070424	53.8658877	-2.3978268	
070425	51.2743454	1.1051104	
070425	51.281166	1.0762161	
070425	51.2811552	1.0761957	
070425	51.2818029	1.0757489	
070425	51.2817865	1.0757325	
070426	49.6499526	8.4954654	
070426	53.9369081	-1.7826855	
070427	53.9307286	-1.7447744	
070427	53.9163917	-1.6975245	
070427	51.891846	-1.1560186	
070428	51.7410004	-0.8632205	
070428	53.9243298	-1.8230542	
070429	53.9246969	-1.8259144	
070430	55.8141379	12.5279903	
070430	49.6890433	8.4570654	
070501	53.9622773	-2.0162901	
070501	49.5964465	8.4849494	
070502	51.2836907	1.0712453	
