last_edit_date	latitude	longitude	name
070324	50.8452848	-0.1844875	Windmill Theatre
070419	59.1227691	11.3836481	Blackbox
070419	59.1226085	11.3841146	Fredrikshalds teater
070419	53.3909593	-6.3918252	Draíocht
070623	50.8425069	-0.7777993	The Minerva Theatre
070719	55.0059049	-1.6353849	Jubilee Theatre
070901	51.4745538	5.5479726	Het Klooster
070907	51.3727681	1.1366614	Kings Hall
071031	60.1722969	24.9445312	Omapohja
071106	60.4443348	22.2618465	Samppalinnan Kesäteatteri
071107	40.4182312	-3.7103603	Teatro Real
071110	51.3728529	-0.0105443	Theatre 62
071118	39.9040298	32.8593654	Şinasi Sahnesi
071119	46.3596293	15.115051	Kulturni dom Velenje
071129	51.6168368	-3.9372232	Dylan Thomas Arts Centre
071129	52.6059619	-1.9148335	
071204	50.2535504	12.4021728	
071209	51.6182384	-3.9481151	Grand Theatre
071212	39.9370221	32.8256151	MEB Şura Salonu
071220	51.5131905	-0.0411652	Half Moon Theatre
080105	40.7873421	22.9567857	
080105	40.8406221	22.9265733	
080106	62.7049076	25.2495008	Työväenteatteri
080112	43.618664	3.8724443	Théâtre du Hangar
080113	61.0110216	24.4495265	Hämeenlinnan kesäteatteri
080117	15.3008683	-61.3863042	Arawak House of Culture
080121	40.483996	22.9865154	
080131	-25.5345726	152.7060461	Brolga Theatre
080208	34.778195	32.4233156	
080216	52.606634	4.7132399	De Beun
080219	52.6450094	-1.122029	Peepul Centre
080220	41.9349239	12.5675843	
080223	41.0514413	-0.1316503	Teatro Municipal
080228	51.7029675	10.0254961	Waldbuehne
080309	39.9038521	32.8592001	Akün Sahnesi
080320	51.2485798	4.4232999	
080325	52.635905	9.3263898	Freilichtbühne Stöckse
080328	46.2380194	14.3558945	
080329	50.9080069	6.7943387	Haus am Bahndamm/Theater Harlekin
080331	54.9589892	9.42011	
080402	50.8790795	6.16115	Bühne
080403	4.622909	-74.0778456	Colsubsidio
080408	42.7882701	-89.6331243	
080420	-33.9298342	18.414527	Little Theatre
080420	-33.9294286	18.4134242	Arena Theatre
080502	45.5001787	9.4225019	Teatro Trivulzio
080503	51.2335267	-0.5749539	Yvonne Arnaud Theatre
080503	51.0315988	2.8650675	CC Kruispunt
080504	51.0345637	2.8603861	4AD
080505	51.1335974	4.3841128	Cultureel Centrum Nr 34
080511	44.4080705	8.9589109	Teatro Garage
080512	47.5026485	19.0478871	Komédium Színház
080512	48.2072026	16.3729645	Theater im Zentrum
080518	45.4962225	9.2246258	Teatro del Parco Trotter
080521	61.4992093	9.7646044	Friluftsscena ved Gålåvatnet
080526	41.8783855	12.4846527	Anfitrione
080603	50.929054	4.4327171	CC Het Bolwerk
080605	-33.8680361	18.4968411	Milnerton Playhouse Theatre
080605	19.4354909	-99.1412526	Bellas Artes
080607	38.1138033	13.3656188	teatro Santa Cecilia
080607	38.1167408	13.3722535	teatro Ditirammu
080611	54.0876184	12.1313959	Sommertheater
080617	41.1305022	16.556266	
080622	45.6543387	25.5899776	Teatrul Liric
080622	41.372356	-89.465234	Festival 56
080624	38.7871984	-9.1700612	Teatro da Malaposta
080702	43.2129001	11.7371667	Teatro Ciro Pinsuti
080703	51.3845944	0.5102081	Medway Little Theatre
080705	-33.889003	151.2091499	Belvoir Theatre
080705	54.6069442	-1.2887405	Forum Theatre
080707	38.1109138	13.357327	teatro delle Balate
080708	47.5032858	19.0728363	Magyar Színház
080709	-17.7950034	31.0439689	Reps Theatre
080714	55.6766107	12.5366472	Edison
080717	51.9059784	4.2463139	Muziektheater De Ontmoeting
080720	45.5023512	9.2118728	Greco
080720	59.8934321	14.9278824	Opera På Skäret
080720	55.678552	12.5324953	CampX Rialto
080723	51.5094507	5.4936473	Het Vestzaktheater
080727	53.8993072	27.563334	Кукол
080730	52.8446512	-8.9770509	Glór
080730	55.6427263	12.4634514	Teater Vestvolden
080731	51.8241494	5.8342075	Goffert Openlucht theater
080802	62.973596	8.7257972	
080803	45.4793789	9.1760658	Teatro Verga
080806	42.4864633	2.7496067	Cinéma Le Cérétan
080809	59.2095339	9.6074661	Telemark Teater
080810	44.8113043	-0.5458178	Théâtre en Miettes
080810	50.2132528	10.2343349	
080811	53.1792422	-3.1368143	Clwyd Theatr
080812	60.6775378	17.1416222	Gävle teater
080812	50.9251773	6.9645047	Theater 509
080813	62.5905153	25.6012135	Martin Kievarin kesäteatteri
080815	39.9383592	32.822512	Gazi Üniversitesi Konser Salonu
080815	43.7043413	-79.4103504	The Eglinton Grand
080815	51.1712445	4.4467268	Mark Liebrecht
080818	52.2487654	0.6990311	Vinegar Bowl Theatre
080818	52.243735	0.7123075	The Guildhall
080820	51.6462571	4.8611258	De Bussel
080826	51.8906343	-0.5220817	Grove Theatre
080829	52.0628649	1.1370048	Sir John Mills Theatre
080830	50.0662992	14.4166716	Letní scéna na Vyšehradě
080830	46.177638	23.9198608	Casa de Cultură
080901	44.325621	-76.1559735	Thousand Islands Playhouse
080902	35.5160142	24.0299311	
080902	49.3252195	11.3059564	Haus der Musik
080902	42.0014969	-5.6793796	Reina Sofía
080903	52.0001436	11.7237579	Kurparkbühne
080903	48.1312848	12.7145173	Waldbühne
080907	49.5534818	8.6719184	Kulturbühne Alte Druckerei
080913	47.2254556	8.6788672	Theater Ticino
080915	44.6367439	11.4214253	TeZe
080916	50.9749552	-3.2255748	Wellington Arts Centre
080920	14.8826829	-92.2978165	Teatro de la Ciudad
080921	53.3262446	-3.4835265	Pavilion Theatre
080922	52.1129673	9.6260146	Freilichtbühne
080924	51.2215496	4.3497923	Tophat
080925	52.402907	13.0740137	Bühne
080926	55.6262667	12.3459519	Ishøj Teater
080927	-25.84345	28.20922	Centurion
080928	47.3682487	8.5447542	Theater am Hechtplatz
