last_edit_date	latitude	longitude	name
070326	51.5227918	-0.0996753	St Bartholemews and the Royal London School of Medicine and Dentistry
070520	-6.9042997	107.6084706	Universitas Pasundan
070626	51.0784038	-114.1287077	University of Calgary
070716	-6.9050969	107.5973817	Ariyanti
070723	49.7657882	9.9319926	Julius-von-Sachs-Institut für Biowissenschaften
070814	62.8919338	27.6332719	University of Kuopio
070819	40.7975993	-76.8654551	Susquehanna University
070917	50.7271705	-1.8292631	Anglo-European College of Chiropractic
070929	46.2246553	6.2524845	HES-SO Ecole d'Ingénieur de Lullier (EIL)
071018	51.5269017	-0.1612587	London Business School
071018	51.5264643	-0.162209	London Business School
071120	6.4636522	3.2017248	Lagos State University
071221	43.4824541	-8.2225698	Universidade da Coruña - Campus de Esteiro
080110	58.339116	8.5800831	
080114	35.1794444	33.3803423	Frederick University
080114	35.159639	33.3385947	European Univercity Of Cyprus
080114	35.1699003	33.3533186	UCY Archaeological department
080114	35.1696688	33.3533529	
080128	35.1550672	33.3766322	School of Engineering, UCY
080201	43.621773	3.873705	
080211	53.3687831	-2.9226646	Liverpool John Moores - I M Marsh Campus
080211	53.3757797	-2.9241585	
080212	51.2215829	4.411186	
080315	43.5952752	1.4430514	Institut Catholique
080319	38.8716735	-6.9800081	Residencia Univesitaria Hernán Cortés
080325	49.0390423	2.0713228	ENSEA (École Nationale Supérieure de l'Électronique et de ses Applications)
080327	41.8511157	12.4747804	RomaTre - Facoltà di Lettere
080331	42.700541	23.339223	МУ Факултет по обществено здраве
080331	42.658007	23.344963	НХА Факултет по приложни изкуства-текстил и керамика-филиал
080402	51.5143449	7.1181082	
080408	41.6350659	-0.8611465	Facultad de Veterinaria
080409	62.770051	30.9705571	
080411	62.7696267	30.9723825	Mekrijärven tutkimusasema
080413	43.8570242	18.3952224	ETF-VA
080413	41.6422081	-0.896771	Información y actividades culturales
080419	45.1955736	5.7262644	Institut Dolomieu
080428	53.8353127	10.4879408	
080502	40.6009997	-75.3611801	Lehigh University Mountaintop Campus
080502	40.5867794	-75.3568536	Lehigh University Goodman Campus
080503	39.060115	125.7130234	Pyongyang University of Railways
080504	38.9927751	125.7656153	University of Light Industry
080504	46.1761384	21.343779	Aurel Vlaicu
080508	45.4765762	9.227541	Facoltà di Agraria
080509	53.8347129	10.4883141	
080516	45.65551	25.5998172	Corpul V
080518	51.7440533	-1.2408272	Greyfriars
080521	4.59499	-74.0752603	Universidad Libre
080524	4.6203239	-74.0673049	Colegio Externado Nacional Camilo Torres
080530	54.679684	25.2784203	Vilniaus Gedimino technikos universiteto Architektūros fakultetas
080530	54.6739174	25.2663611	Vilniaus Gedimino technikos universiteto Elektronikos fakultetas
080609	38.781528	-9.160719	Instituto Superior de Gestão
080609	38.7814544	-9.1606589	Instituto Superior Novas Profissões
080609	51.7153587	-1.2914559	The Open University in the South
080612	59.8155158	17.6645005	
080612	59.8149273	17.6645939	
080613	46.0663683	11.1398154	Mensa universitaria
080614	35.6100701	139.311394	東京家政学院大学 （Tokyo Kasei Gakuin)
080614	46.0644425	11.1397296	
080615	52.1727701	21.0124053	Uniwersytet Warszawski (Magazyn UW)
080617	54.76826	-1.5702186	Durham University
080617	43.4825883	-8.2231496	
080621	51.3433668	-2.7791614	Langford House, University of Bristol, Veterinary Science
080622	59.8149874	17.6640143	
080628	50.0531772	19.8263754	Obserwatorium Astronomiczne U.J.
080630	49.157272	-121.9654744	University of the Fraser Valley
080704	54.6828594	25.2586075	Vilniaus Universiteto Medicinos Fakultetas
080713	43.7165801	10.388763	Chimica farmaceutica
080719	51.4782633	-2.6230513	Wills Hall
080719	51.4799044	-2.626373	University Hall
080719	51.4768841	-2.6270596	Churchill Hall
080724	51.4681778	-0.0260553	Lewisham College
080725	53.2840636	-9.065571	Cairnes Business School
080728	53.9331702	27.6368973	ИСЗ
080728	53.9273174	27.6224765	
080728	53.9283468	27.6217322	
080728	53.9290119	27.6223498	
080728	53.9191133	27.5899188	БНТУ
080728	53.9126265	27.6011197	
080731	49.0296999	1.1460156	Université d'Evreux
080731	33.5128607	-90.3420119	Mississippi Valley State University
080804	50.1319474	14.3762777	
080804	50.1301438	14.3751003	
080804	50.13178	14.3723038	
080810	60.7400132	14.9833037	
080812	35.6129033	139.4074563	大妻女子大学
080818	35.6382855	139.9266002	了徳寺大学
080824	35.7009976	-105.9086967	
080824	35.6980346	-105.9102791	
080826	43.4706622	-3.8042462	Universidad de Cantabria
080827	51.4836914	-3.1682258	Cardiff University, Queen's Buildings
080828	38.8992306	-77.0463218	The George Washington University
080830	11.3921777	76.6633719	TIFR Cosmic ray station
080830	19.042236	-98.1956621	Universidad Autónoma de Puebla
080830	4.9207677	-75.0727739	centro Universitario
080903	50.9070649	6.9785211	Universität zu Köln Ökologisches Rheinlabor
080905	48.7454159	19.146121	UMB Právnická fakulta
080905	0.302671	32.5542284	Ugand Martyrs University
080905	55.7804097	-4.0458093	University of the West of Scotland
080905	56.4574098	-3.0111301	University of Dundee - West Park Villas
080906	38.2887805	21.7887305	Πανεπιστήμιο Πατρών
080909	19.2955731	-99.15734	Facultad de Contaduria y Administracion - Posgrado
080912	45.9433169	13.6184704	Università degli studi di Udine
