last_edit_date	latitude	longitude	name
080328	63.8472232	23.1396799	
080328	63.843556	23.1721802	
080328	63.8484328	23.1675623	
080512	44.3462036	11.7135119	
080512	44.3471403	11.7141603	
080512	44.3471215	11.7129881	
080607	-30.656011	146.395504	
080611	61.0669031	25.8738046	
080612	54.1251385	-2.7713449	
080621	52.9720291	5.7187623	
080622	48.9474419	10.9130877	
080708	46.0195547	11.1076713	
080708	46.0190182	11.1069589	
080708	46.0158533	11.1059032	
080710	60.4787086	24.7450313	Metsä-Tuomelan jäteasema
080731	60.2530197	24.8606477	
080731	60.2533876	24.8590189	
080804	60.1970141	24.9227097	
080804	60.1965185	24.9263224	
080805	60.0820621	24.2984165	
080808	60.1806451	24.8554783	
080824	48.7831195	-3.0471551	
080920	60.162428	24.9176057	
080920	60.1729952	24.9132409	
080921	60.1732423	24.9162359	
080921	60.1800635	24.9212949	
080922	60.1812317	24.9202692	
080922	60.1818233	24.9198658	
080922	60.1819699	24.9185294	
080922	60.1974752	24.9253978	
080923	60.1711764	24.9167628	
081001	61.1987846	28.7521826	
081002	60.1824191	24.8228714	
081002	60.1830975	24.8243089	
081002	60.1812578	24.8259842	
081008	60.1864217	24.8272328	
081008	60.1844051	24.8286937	
081012	47.8130986	7.6286533	
081016	60.1899386	24.8346587	
081018	60.4766098	22.3039842	
081019	60.4752099	22.3049394	
081020	60.4750794	22.2953578	
081020	60.474891	22.3037816	
081021	60.4776913	22.297239	
081027	60.474855	22.2936112	
081029	60.1871297	24.8941425	
081029	60.1868477	24.8953365	
081029	60.1817292	24.9125939	
081029	60.1815936	24.9133554	
081029	60.1810101	24.9137383	
081029	60.1818496	24.9139648	
081029	60.1823336	24.9139564	
081029	60.1830736	24.9144381	
081029	60.1832443	24.9149054	
081029	60.1826097	24.9187366	
081029	60.1825095	24.9168697	
081029	60.1823315	24.9171475	
081029	60.1702711	24.8613202	
081029	60.1200992	24.4400815	
081029	60.1781059	24.8288452	
081029	60.4763578	22.3031059	
081029	60.4726593	22.304918	
081104	51.3843938	7.711448	
081106	46.0637125	8.9714823	
081110	60.1595303	24.932995	
081110	60.1694342	24.9561815	
081110	60.1694398	24.9565103	
081127	62.7901255	22.8246434	
081127	62.788951	22.8263166	
081205	-27.5057722	153.01209	
081206	-27.5062283	153.0054333	
081206	-27.5078606	153.0048808	
081210	60.1695198	24.9241704	
081215	60.1763494	24.9362547	
081222	65.6793094	-18.133785	
090107	60.1904195	24.8375209	
090108	60.1620368	24.8737878	
090108	60.1562593	24.8759219	
090108	60.1569477	24.8772785	
090108	60.1581843	24.8783071	
090108	60.158659	24.8770417	
090109	-37.2973979	142.9300352	Ararat Transfer Station
090109	60.1584356	24.879259	
090111	60.1616743	24.8914177	
090112	60.164311	24.8593932	
090112	60.1895107	24.9021932	
090112	-27.523491	153.0290365	
090112	-27.5285247	153.0256345	
090112	60.1485959	24.8831707	
090112	60.1484789	24.8827983	
090112	-27.5271257	153.0354826	
090113	60.16029	24.8858584	
090113	60.1553902	24.8677916	
090113	60.1559562	24.8695037	
090113	60.1491579	24.8831077	
090113	60.1502661	24.8870712	
090114	60.159882	24.8786049	
090114	60.1594966	24.8931145	
090114	60.1607301	24.8933047	
090117	60.1839192	24.9151725	
090117	60.1847469	24.9149927	
090117	60.1837326	24.9105882	
090126	60.1651335	24.857004	
090126	60.1628567	24.9339248	
090127	60.1787113	24.8482802	
090129	60.211775	24.953157	
090206	60.161354	24.8569685	
090206	60.1612124	24.8574026	
090211	60.1793659	24.9545712	
090212	60.1564562	24.8784314	
090212	60.1562918	24.8801192	
090213	60.1608303	24.8591169	
090217	60.2103111	24.9499195	
090222	60.1548943	24.878173	
090224	60.2101158	24.9482727	
090226	51.136756	13.9161616	
090226	60.2116376	24.9523457	
090228	40.6258699	22.9649178	
090305	60.157528	24.8653179	
090305	60.1599689	24.8726576	
090305	60.1600869	24.8729853	
090306	60.1592984	24.8727541	
090308	60.1815564	24.7898969	
090309	60.1617968	24.8746325	
090309	60.1621219	24.8745785	
090309	60.1616733	24.8726574	
090310	60.2112496	24.9458462	
090312	60.1682963	24.8572891	Katajaharju
090312	60.1650696	24.8585183	Koivusaarentie
090312	60.2110081	24.9451945	
090312	60.2092295	24.9441873	
090313	60.1575523	24.876263	
090313	60.1563272	24.8793188	
090313	60.1584635	24.8804733	
090314	60.1618471	24.8921659	
090318	49.9122886	14.4142876	
090318	49.901828	14.4107794	
090320	60.1772537	24.7999486	
090323	60.210562	24.9539308	Kisalämmön jäteasema
090324	60.2106961	24.9418	
090325	60.1682433	24.8591024	
090325	60.1674882	24.8588837	
090325	60.166337	24.860597	
090327	60.2064155	24.9571906	
090329	45.2007178	9.1777615	
090413	48.9592937	10.9042676	
090422	65.2396931	25.3887962	
090505	52.778792	-1.2762124	
090505	54.4460693	11.0878449	
090511	60.1620808	24.8911763	
090511	60.1626122	24.88858	
090511	60.1624991	24.8889207	
090512	60.2072112	24.9461654	
090514	60.2103027	24.8960336	
090516	60.206555	24.9576732	
090516	44.5167896	9.1598871	
090524	47.4603636	-120.3284653	
090525	52.4972784	-2.0978488	
090525	51.7745167	-1.3561398	
090528	54.129075	-1.5093425	
090531	64.1244834	25.8011533	
090531	64.4688679	25.7211128	
090531	63.9984327	25.75464	
090531	63.8726098	25.8156035	
090601	67.9340746	23.8029127	
090608	60.2140218	24.9508006	
090608	52.4284308	-1.9174001	
090608	52.4280399	-1.9177106	
090608	52.4076048	-1.9751124	
090609	50.5982994	7.2188206	
090610	60.1992586	24.9054051	
090610	60.203253	24.9037321	
090610	60.2028873	24.9016566	
090610	60.2011827	24.9030432	
090610	60.2021829	24.9034276	
